date,treatment,plot_code,total_head_12ind,total_wet_weight_12ind,total_dry_weight_12ind,total_grain_10head,total_fertile_10head,total_sterile_10heads,n_stem,total_grain_dry_g,fertile_grain_dry_g,sterile_grain_dry_g,stem_dry_g
2017/10/09,NoFert,N-1,162,331,262,904,814,90,10,20.6,19.041,0.721,0.838
2017/10/09,NoFert,N-2,148,311,249,824,740,84,10,19.456,18.113,0.598,0.745
2017/10/09,NoFert,N-3,141,294,241,917,788,129,10,20.355,18.538,1.016,0.801
2017/10/09,NoFert,N-4,169,317,260,711,632,79,10,16.65,15.451,0.523,0.676
2017/10/09,NoFert,N-5,179,294,245,716,595,121,10,16.449,14.857,0.892,0.7
2017/10/09,Conv,C-1,310,652,546,1009,910,99,10,22.205,20.784,0.648,0.773
2017/10/09,Conv,C-2,291,691,589,1127,981,146,10,24.898,22.802,1.132,0.964
2017/10/09,Conv,C-3,301,696,593,1094,988,106,10,25.057,23.32,0.856,0.881
2017/10/09,Conv,C-4,248,565,476,981,883,98,10,23.138,21.276,1.016,0.846
2017/10/09,Conv,C-5,268,674,553,1159,1022,137,10,25.681,23.718,1.024,0.939
