date,n_week,treatment,sampling_point,sample_code,Z_3_Hexenal,E_2_Hexenal,Z_3_Hexen_1_ol,2_4_Heptadienal,linalool,b_caryophyllene,MeSA
2017/05/19,0,NoFert,1,17_0519_NoFert_1,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,2,17_0519_NoFert_2,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,3,17_0519_NoFert_3,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,4,17_0519_NoFert_4,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,5,17_0519_NoFert_5,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,Conv,6,17_0519_Conv_6,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,Conv,7,17_0519_Conv_7,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,Conv,8,17_0519_Conv_8,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,Conv,9,17_0519_Conv_9,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,Conv,10,17_0519_Conv_10,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,NC,0,17_0519_NC_0,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,1,17_0531_NoFert_1,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,2,17_0531_NoFert_2,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,3,17_0531_NoFert_3,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,4,17_0531_NoFert_4,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,5,17_0531_NoFert_5,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,Conv,6,17_0531_Conv_6,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,Conv,7,17_0531_Conv_7,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,Conv,8,17_0531_Conv_8,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,Conv,9,17_0531_Conv_9,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,Conv,10,17_0531_Conv_10,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,NC,0,17_0531_NC_0,NA,NA,NA,NA,NA,NA,NA
2017/06/07,2,NoFert,1,17_0607_NoFert_1,373.169258,53.62324725,1.711358482,1.438417169,0.167506803,0.881522192,0.101463615
2017/06/07,2,NoFert,2,17_0607_NoFert_2,150.4378206,350.3764088,0.823466139,0.536450156,0.04013218,0.455961544,0.044059245
2017/06/07,2,NoFert,3,17_0607_NoFert_3,133.3866558,280.8633639,1.903019559,0.517897752,0.066461404,0.201122474,0.037536543
2017/06/07,2,NoFert,4,17_0607_NoFert_4,168.2871786,389.5626986,1.970607629,0.400874889,0.030488347,0.457246379,0.073961171
2017/06/07,2,NoFert,5,17_0607_NoFert_5,96.40797657,184.5262865,0.727631219,0.250338663,0.045293414,0.159509879,0.161046044
2017/06/07,2,Conv,6,17_0607_Conv_6,53.2423084,63.62391754,1.457043384,4.267685683,0.071970996,0.226546865,0.02096408
2017/06/07,2,Conv,7,17_0607_Conv_7,52.67755312,179.4432757,1.127856553,3.638019844,0.240216123,0.825596254,0.15955638
2017/06/07,2,Conv,8,17_0607_Conv_8,30.08273809,88.43909572,0.819496084,2.02457809,0.147048482,0.764041204,0.109008637
2017/06/07,2,Conv,9,17_0607_Conv_9,58.94390236,156.9644781,2.379179366,3.357068429,0.0830142,0.449257611,0.082286369
2017/06/07,2,Conv,10,17_0607_Conv_10,57.87037252,164.6765952,1.665896389,5.749321729,0.208704446,0.274156466,0.12607002
2017/06/07,2,NC,0,17_0607_NC_0,NA,NA,NA,NA,NA,NA,NA
2017/06/14,3,NoFert,1,17_0614_NoFert_1,49.52228308,169.2602421,2.859786333,1.150503125,0.022351599,0.093645202,0.044000924
2017/06/14,3,NoFert,2,17_0614_NoFert_2,69.85324533,172.3954949,5.239407482,1.924523541,0.034604163,0.475509555,0.148204322
2017/06/14,3,NoFert,3,17_0614_NoFert_3,23.7047449,87.31231696,1.445123753,0.850338073,0.024903555,0.133706918,0.037053251
2017/06/14,3,NoFert,4,17_0614_NoFert_4,222.3802705,541.2638597,3.839554774,1.716413138,0.027147715,0.155121606,0.042719035
2017/06/14,3,NoFert,5,17_0614_NoFert_5,18.54418625,54.70697416,4.203922138,0.754884773,0.337839026,0.242300205,0.218195833
2017/06/14,3,Conv,6,17_0614_Conv_6,32.32587103,92.79100896,5.635242921,1.106442728,0.086509663,0.308822929,0.168852138
2017/06/14,3,Conv,7,17_0614_Conv_7,17.65971374,51.86440658,2.553256148,1.104514715,0.213550896,0.159850882,0.162371959
2017/06/14,3,Conv,8,17_0614_Conv_8,41.44767619,169.1092507,6.338840199,2.273622342,0.129619622,0.538864015,0.094483555
2017/06/14,3,Conv,9,17_0614_Conv_9,19.13460321,63.57011535,2.110288332,1.36838235,0.120262964,0.222158164,0.097330904
2017/06/14,3,Conv,10,17_0614_Conv_10,38.60535161,151.0522878,2.570782986,1.131728329,0.071041583,0.286780872,0.16722998
2017/06/14,3,NC,0,17_0614_NC_0,NA,NA,NA,NA,NA,NA,NA
2017/06/21,4,NoFert,1,17_0621_NoFert_1,22.48089273,193.7155474,20.86655401,2.272978715,0.023564544,0.070828676,0.034860366
2017/06/21,4,NoFert,2,17_0621_NoFert_2,16.68576808,50.28983544,5.561149946,1.183786144,0.063671613,0.157551195,0.141939059
2017/06/21,4,NoFert,3,17_0621_NoFert_3,15.84902138,89.23373568,10.9149385,2.430570915,0.032102586,0.086165567,0.068670601
2017/06/21,4,NoFert,4,17_0621_NoFert_4,16.32475943,71.68067247,6.162112276,3.502338165,0.1911807,0.100327035,0.779839633
2017/06/21,4,NoFert,5,17_0621_NoFert_5,10.81149857,46.72580296,5.12274056,1.649160447,0.16470367,0.171749448,0.853793187
2017/06/21,4,Conv,6,17_0621_Conv_6,13.90025451,69.66247299,3.9528215,2.487850363,0.601005543,0.449951509,0.917875964
2017/06/21,4,Conv,7,17_0621_Conv_7,6.037528497,32.95301334,2.067331801,1.324420992,0.046339665,0.102634571,0.115055025
2017/06/21,4,Conv,8,17_0621_Conv_8,2.441755006,6.108224276,0.842380919,0.130769479,NA,0.052708855,0.199707704
2017/06/21,4,Conv,9,17_0621_Conv_9,5.34357001,18.50511699,2.059275595,0.465822591,0.028422327,0.114662791,0.171793617
2017/06/21,4,Conv,10,17_0621_Conv_10,3.157368323,11.78689063,1.437958085,0.448140687,0.037069879,0.103019312,0.125000759
2017/06/21,4,NC,0,17_0621_NC_0,NA,NA,NA,NA,NA,NA,NA
2017/06/28,5,NoFert,1,17_0628_NoFert_1,4.638902272,15.46963235,2.024817835,0.514348668,0.149772622,0.089595423,0.343230336
2017/06/28,5,NoFert,2,17_0628_NoFert_2,5.418319782,17.68278143,1.252986811,0.290896692,0.017955688,0.087143948,0.097376757
2017/06/28,5,NoFert,3,17_0628_NoFert_3,3.488694,15.40241032,0.876671537,0.878919701,0.034128209,0.091475775,0.212316572
2017/06/28,5,NoFert,4,17_0628_NoFert_4,5.454122618,10.15652354,1.664352217,0.209240451,0.026668962,0.118629697,0.084994511
2017/06/28,5,NoFert,5,17_0628_NoFert_5,4.79636892,23.28374374,4.377718494,0.205511128,0.055076147,0.340103684,0.190078004
2017/06/28,5,Conv,6,17_0628_Conv_6,2.007071395,3.237954304,1.298747303,0.173724297,0.008359824,0.105841462,0.045266561
2017/06/28,5,Conv,7,17_0628_Conv_7,3.309081656,9.154449303,1.084181689,0.15901355,0.033886869,0.025287729,0.050736935
2017/06/28,5,Conv,8,17_0628_Conv_8,0.698526069,1.778051138,1.010674171,0.070546225,0.040142486,0.071943705,0.035893453
2017/06/28,5,Conv,9,17_0628_Conv_9,7.681647234,31.65232291,3.510306583,0.590932699,0.038671344,0.224795124,0.139537343
2017/06/28,5,Conv,10,17_0628_Conv_10,5.256510698,27.89612875,2.069201703,0.680839009,0.028747907,0.135464732,0.076721406
2017/06/28,5,NC,0,17_0628_NC_0,NA,NA,NA,NA,NA,NA,NA
2017/07/05,6,NoFert,1,17_0705_NoFert_1,7.309065365,25.99480317,2.846430377,0.486240588,0.013472907,0.102926291,0.126002237
2017/07/05,6,NoFert,2,17_0705_NoFert_2,8.208323043,21.12075678,1.83478154,1.006536816,0.047390294,0.033322074,0.459298555
