file                                          format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
RMR-080_Ogura_pro_S001_515F.forward.fastq.gz  FASTQ   DNA     35,628   8,017,249      222      225      231  225  225  225        0  225    96.3   93.61
RMR-080_Ogura_pro_S001_515F.reverse.fastq.gz  FASTQ   DNA     35,628   7,981,366      222      224      229  224  224  224        0  224   94.19   90.19
RMR-080_Ogura_pro_S002_515F.forward.fastq.gz  FASTQ   DNA     22,789   5,128,125      221      225      231  225  225  225        0  225   95.81   92.85
RMR-080_Ogura_pro_S002_515F.reverse.fastq.gz  FASTQ   DNA     22,789   5,105,151      220      224      230  224  224  224        0  224   94.52   90.74
RMR-080_Ogura_pro_S003_515F.forward.fastq.gz  FASTQ   DNA     28,006   6,302,040      221      225      233  225  225  225        0  225    95.3   92.05
RMR-080_Ogura_pro_S003_515F.reverse.fastq.gz  FASTQ   DNA     28,006   6,273,893      222      224      231  224  224  224        0  224    94.6   90.85
RMR-080_Ogura_pro_S004_515F.forward.fastq.gz  FASTQ   DNA     26,326   5,924,011      221      225      232  225  225  225        0  225   91.26   85.89
RMR-080_Ogura_pro_S004_515F.reverse.fastq.gz  FASTQ   DNA     26,326   5,897,534      220      224      230  224  224  224        0  224   94.66   90.88
RMR-080_Ogura_pro_S005_515F.forward.fastq.gz  FASTQ   DNA     24,325   5,473,759      221      225      231  225  225  225        0  225    96.4    93.8
RMR-080_Ogura_pro_S005_515F.reverse.fastq.gz  FASTQ   DNA     24,325   5,449,269      222      224      231  224  224  224        0  224   92.43   87.45
RMR-080_Ogura_pro_S006_515F.forward.fastq.gz  FASTQ   DNA     14,398   3,239,867      221      225      232  225  225  225        0  225   95.37   92.18
RMR-080_Ogura_pro_S006_515F.reverse.fastq.gz  FASTQ   DNA     14,398   3,225,435      222      224      231  224  224  224        0  224   94.46   90.71
RMR-080_Ogura_pro_S007_515F.forward.fastq.gz  FASTQ   DNA     23,717   5,336,914      221      225      232  225  225  225        0  225   93.82   89.74
RMR-080_Ogura_pro_S007_515F.reverse.fastq.gz  FASTQ   DNA     23,717   5,313,100      220      224      229  224  224  224        0  224   94.64   90.84
RMR-080_Ogura_pro_S008_515F.forward.fastq.gz  FASTQ   DNA     16,661   3,749,141      222      225      232  225  225  225        0  225   92.41   87.07
RMR-080_Ogura_pro_S008_515F.reverse.fastq.gz  FASTQ   DNA     16,661   3,732,403      222      224      227  224  224  224        0  224   93.48   89.02
RMR-080_Ogura_pro_S009_515F.forward.fastq.gz  FASTQ   DNA     27,726   6,238,997      222      225      232  225  225  225        0  225   95.62   92.55
RMR-080_Ogura_pro_S009_515F.reverse.fastq.gz  FASTQ   DNA     27,726   6,211,138      222      224      231  224  224  224        0  224   93.96   90.02
RMR-080_Ogura_pro_S010_515F.forward.fastq.gz  FASTQ   DNA     20,711   4,660,363      221      225      233  225  225  225        0  225   94.14   90.04
RMR-080_Ogura_pro_S010_515F.reverse.fastq.gz  FASTQ   DNA     20,711   4,639,668      222      224      229  224  224  224        0  224   94.48   90.78
RMR-080_Ogura_pro_S011_515F.forward.fastq.gz  FASTQ   DNA     34,239   7,704,593      221      225      232  225  225  225        0  225   95.19   91.81
RMR-080_Ogura_pro_S011_515F.reverse.fastq.gz  FASTQ   DNA     34,239   7,670,166      220      224      230  224  224  224        0  224   93.44   89.06
RMR-080_Ogura_pro_S012_515F.forward.fastq.gz  FASTQ   DNA     25,702   5,783,422      221      225      232  225  225  225        0  225   90.08   83.37
RMR-080_Ogura_pro_S012_515F.reverse.fastq.gz  FASTQ   DNA     25,702   5,757,738      222      224      231  224  224  224        0  224   93.68   89.29
RMR-080_Ogura_pro_S013_515F.forward.fastq.gz  FASTQ   DNA     25,723   5,788,264      221      225      233  225  225  225        0  225   91.93   86.23
RMR-080_Ogura_pro_S013_515F.reverse.fastq.gz  FASTQ   DNA     25,723   5,762,390      222      224      229  224  224  224        0  224    93.8    89.5
RMR-080_Ogura_pro_S014_515F.forward.fastq.gz  FASTQ   DNA     42,632   9,593,390      221      225      233  225  225  225        0  225   96.39   93.76
RMR-080_Ogura_pro_S014_515F.reverse.fastq.gz  FASTQ   DNA     42,632   9,550,448      221      224      232  224  224  224        0  224   94.48   90.57
RMR-080_Ogura_pro_S015_515F.forward.fastq.gz  FASTQ   DNA     28,776   6,475,402      221      225      232  225  225  225        0  225   96.06   93.27
RMR-080_Ogura_pro_S015_515F.reverse.fastq.gz  FASTQ   DNA     28,776   6,446,429      221      224      232  224  224  224        0  224   89.66   83.32
RMR-080_Ogura_pro_S016_515F.forward.fastq.gz  FASTQ   DNA     27,240   6,129,732      221      225      232  225  225  225        0  225   95.46    92.3
RMR-080_Ogura_pro_S016_515F.reverse.fastq.gz  FASTQ   DNA     27,240   6,102,326      220      224      231  224  224  224        0  224   93.61   89.28
RMR-080_Ogura_pro_S017_515F.forward.fastq.gz  FASTQ   DNA     37,039   8,334,729      221      225      233  225  225  225        0  225   95.04   91.65
RMR-080_Ogura_pro_S017_515F.reverse.fastq.gz  FASTQ   DNA     37,039   8,297,495      221      224      231  224  224  224        0  224   93.01   88.41
RMR-080_Ogura_pro_S018_515F.forward.fastq.gz  FASTQ   DNA     22,292   5,016,175      222      225      232  225  225  225        0  225   94.37   90.54
RMR-080_Ogura_pro_S018_515F.reverse.fastq.gz  FASTQ   DNA     22,292   4,993,845      222      224      229  224  224  224        0  224   93.62   89.46
RMR-080_Ogura_pro_S019_515F.forward.fastq.gz  FASTQ   DNA     21,427   4,821,619      221      225      232  225  225  225        0  225   94.54   90.91
RMR-080_Ogura_pro_S019_515F.reverse.fastq.gz  FASTQ   DNA     21,427   4,800,063      222      224      231  224  224  224        0  224   93.36   89.11
RMR-080_Ogura_pro_S020_515F.forward.fastq.gz  FASTQ   DNA     27,977   6,295,497      221      225      231  225  225  225        0  225   91.63   86.54
RMR-080_Ogura_pro_S020_515F.reverse.fastq.gz  FASTQ   DNA     27,977   6,267,404      222      224      231  224  224  224        0  224   93.72   89.53
RMR-080_Ogura_pro_S021_515F.forward.fastq.gz  FASTQ   DNA     24,852   5,592,198      221      225      232  225  225  225        0  225   92.25   86.85
RMR-080_Ogura_pro_S021_515F.reverse.fastq.gz  FASTQ   DNA     24,852   5,567,318      222      224      230  224  224  224        0  224   93.03   88.36
RMR-080_Ogura_pro_S022_515F.forward.fastq.gz  FASTQ   DNA     21,342   4,802,425      222      225      231  225  225  225        0  225   95.22   91.93
RMR-080_Ogura_pro_S022_515F.reverse.fastq.gz  FASTQ   DNA     21,342   4,781,053      222      224      228  224  224  224        0  224    93.3    89.1
RMR-080_Ogura_pro_S023_515F.forward.fastq.gz  FASTQ   DNA     18,437   4,148,709      222      225      230  225  225  225        0  225   90.16    84.1
RMR-080_Ogura_pro_S023_515F.reverse.fastq.gz  FASTQ   DNA     18,437   4,130,239      222      224      228  224  224  224        0  224   93.68   89.55
RMR-080_Ogura_pro_S024_515F.forward.fastq.gz  FASTQ   DNA     26,896   6,052,243      221      225      231  225  225  225        0  225   94.72      91
RMR-080_Ogura_pro_S024_515F.reverse.fastq.gz  FASTQ   DNA     26,896   6,025,277      221      224      231  224  224  224        0  224   92.56   87.67
RMR-080_Ogura_pro_S025_515F.forward.fastq.gz  FASTQ   DNA     16,830   3,787,076      221      225      232  225  225  225        0  225   91.31   85.55
RMR-080_Ogura_pro_S025_515F.reverse.fastq.gz  FASTQ   DNA     16,830   3,770,213      222      224      227  224  224  224        0  224   92.76   88.01
RMR-080_Ogura_pro_S026_515F.forward.fastq.gz  FASTQ   DNA     13,469   3,030,796      222      225      231  225  225  225        0  225   94.07      90
RMR-080_Ogura_pro_S026_515F.reverse.fastq.gz  FASTQ   DNA     13,469   3,017,324      223      224      227  224  224  224        0  224   93.72   89.65
RMR-080_Ogura_pro_S027_515F.forward.fastq.gz  FASTQ   DNA     23,391   5,263,529      221      225      233  225  225  225        0  225   94.45   90.68
RMR-080_Ogura_pro_S027_515F.reverse.fastq.gz  FASTQ   DNA     23,391   5,240,020      222      224      231  224  224  224        0  224   93.23   88.86
RMR-080_Ogura_pro_S028_515F.forward.fastq.gz  FASTQ   DNA     17,877   4,022,768      221      225      231  225  225  225        0  225   91.91   86.83
RMR-080_Ogura_pro_S028_515F.reverse.fastq.gz  FASTQ   DNA     17,877   4,004,813      223      224      231  224  224  224        0  224   93.53   89.27
RMR-080_Ogura_pro_S029_515F.forward.fastq.gz  FASTQ   DNA      1,945     437,665      223      225      227  225  225  225        0  225    93.6   89.28
