file                                        format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
RMR-080_Ogura_pro_S001_checked_R1.fastq.gz  FASTQ   DNA     35,628   8,017,249      222      225      231  225  225  225        0  225    96.3   93.61
RMR-080_Ogura_pro_S002_checked_R1.fastq.gz  FASTQ   DNA     22,789   5,128,125      221      225      231  225  225  225        0  225   95.81   92.85
RMR-080_Ogura_pro_S003_checked_R1.fastq.gz  FASTQ   DNA     28,006   6,302,040      221      225      233  225  225  225        0  225    95.3   92.05
RMR-080_Ogura_pro_S004_checked_R1.fastq.gz  FASTQ   DNA     26,326   5,924,011      221      225      232  225  225  225        0  225   91.26   85.89
RMR-080_Ogura_pro_S005_checked_R1.fastq.gz  FASTQ   DNA     24,325   5,473,759      221      225      231  225  225  225        0  225    96.4    93.8
RMR-080_Ogura_pro_S006_checked_R1.fastq.gz  FASTQ   DNA     14,398   3,239,867      221      225      232  225  225  225        0  225   95.37   92.18
RMR-080_Ogura_pro_S007_checked_R1.fastq.gz  FASTQ   DNA     23,717   5,336,914      221      225      232  225  225  225        0  225   93.82   89.74
RMR-080_Ogura_pro_S008_checked_R1.fastq.gz  FASTQ   DNA     16,661   3,749,141      222      225      232  225  225  225        0  225   92.41   87.07
RMR-080_Ogura_pro_S009_checked_R1.fastq.gz  FASTQ   DNA     27,726   6,238,997      222      225      232  225  225  225        0  225   95.62   92.55
RMR-080_Ogura_pro_S010_checked_R1.fastq.gz  FASTQ   DNA     20,711   4,660,363      221      225      233  225  225  225        0  225   94.14   90.04
RMR-080_Ogura_pro_S011_checked_R1.fastq.gz  FASTQ   DNA     34,239   7,704,593      221      225      232  225  225  225        0  225   95.19   91.81
RMR-080_Ogura_pro_S012_checked_R1.fastq.gz  FASTQ   DNA     25,702   5,783,422      221      225      232  225  225  225        0  225   90.08   83.37
RMR-080_Ogura_pro_S013_checked_R1.fastq.gz  FASTQ   DNA     25,723   5,788,264      221      225      233  225  225  225        0  225   91.93   86.23
RMR-080_Ogura_pro_S014_checked_R1.fastq.gz  FASTQ   DNA     42,632   9,593,390      221      225      233  225  225  225        0  225   96.39   93.76
RMR-080_Ogura_pro_S015_checked_R1.fastq.gz  FASTQ   DNA     28,776   6,475,402      221      225      232  225  225  225        0  225   96.06   93.27
RMR-080_Ogura_pro_S016_checked_R1.fastq.gz  FASTQ   DNA     27,240   6,129,732      221      225      232  225  225  225        0  225   95.46    92.3
RMR-080_Ogura_pro_S017_checked_R1.fastq.gz  FASTQ   DNA     37,039   8,334,729      221      225      233  225  225  225        0  225   95.04   91.65
RMR-080_Ogura_pro_S018_checked_R1.fastq.gz  FASTQ   DNA     22,292   5,016,175      222      225      232  225  225  225        0  225   94.37   90.54
RMR-080_Ogura_pro_S019_checked_R1.fastq.gz  FASTQ   DNA     21,427   4,821,619      221      225      232  225  225  225        0  225   94.54   90.91
RMR-080_Ogura_pro_S020_checked_R1.fastq.gz  FASTQ   DNA     27,977   6,295,497      221      225      231  225  225  225        0  225   91.63   86.54
RMR-080_Ogura_pro_S021_checked_R1.fastq.gz  FASTQ   DNA     24,852   5,592,198      221      225      232  225  225  225        0  225   92.25   86.85
RMR-080_Ogura_pro_S022_checked_R1.fastq.gz  FASTQ   DNA     21,342   4,802,425      222      225      231  225  225  225        0  225   95.22   91.93
RMR-080_Ogura_pro_S023_checked_R1.fastq.gz  FASTQ   DNA     18,437   4,148,709      222      225      230  225  225  225        0  225   90.16    84.1
