"","std_rank1","std_rank2","std_rank3","std_rank4","std_rank5"
"S001",11942,5295,1734,1321,280
"S002",4612,1697,704,347,97
"S003",6410,2912,2054,561,131
"S004",4825,2477,959,534,135
"S005",7475,3381,1415,701,143
"S006",699,311,83,44,14
"S007",4957,2211,669,409,117
"S008",901,380,253,54,17
"S009",1751,761,230,157,38
"S010",817,337,121,70,17
"S011",5893,2495,1004,491,173
"S012",1064,523,178,102,27
"S013",2448,1101,349,172,45
"S014",14314,6695,2063,1758,402
"S015",5905,2635,919,522,106
"S016",6840,3014,1057,420,138
"S017",8532,4053,1347,851,185
"S018",2377,1125,327,182,57
"S019",1688,685,198,111,51
"S020",4605,2239,1187,438,145
"S021",1223,562,170,87,30
"S022",296,120,24,17,6
"S023",217,137,37,27,3
"S024",6044,2848,911,569,207
"S025",365,299,32,28,11
"S026",578,256,55,40,7
"S027",3019,1183,387,229,80
"S028",1730,722,284,139,29
"S029",208,88,90,15,7
"S030",6432,3316,2025,609,288
"S031",1449,596,171,95,30
"S032",5408,2418,696,487,209
"S033",1287,549,125,122,31
"S034",401,162,40,22,8
"S035",380,115,32,21,4
"S036",6472,2724,950,570,148
"S037",247,139,43,20,6
"S038",2151,933,221,151,41
"S039",10426,4877,2159,1459,356
"S040",4054,1763,568,307,96
"S041",2041,920,226,189,33
"S042",8889,3525,2846,742,209
"S043",1826,824,255,149,40
"S044",5758,2698,968,588,164
"S045",700,325,101,44,14
"S046",259,96,29,21,6
"S047",177,69,21,13,4
"S048",7489,3007,2217,594,171
"S049",2946,1319,391,231,56
"S050",3119,1353,408,232,77
"S051",13271,6558,2431,2034,568
"S052",1469,673,214,137,38
"S053",1844,732,190,116,42
"S054",11650,6577,2152,927,267
"S055",1752,674,171,225,30
"S056",9059,4079,1564,768,234
"S057",1116,460,153,87,10
"S058",308,148,42,33,4
"S059",272,105,31,20,3
"S060",7271,3099,1116,819,191
"S061",1195,630,186,121,26
"S062",5354,1959,596,378,70
"S063",21053,13681,3426,2318,621
"S064",23193,11081,3834,6158,809
"S065",18778,8987,2943,2156,405
"S066",15179,7839,2636,1552,526
"S067",18437,9088,3152,1762,555
"S068",17278,8035,3060,1756,500
"S069",15713,9110,3035,1718,486
"S070",20361,10913,3425,2296,614
"S071",18067,7791,2666,2015,689
"S072",18672,9091,3964,1851,705
"S073",16335,7661,3150,1771,446
"S074",11277,5083,1841,1220,259
"S075",16459,7795,3492,1653,472
"S076",14663,6534,2799,1425,415
"S077",15047,7430,2678,2097,403
"S078",19457,6891,2934,1502,455
"S079",0,2,0,0,0
"S080",7,2,3,4,0
"S081",10462,5324,2388,901,224
"S082",9269,4281,1561,903,282
"S083",9602,4744,1691,1090,262
"S084",8122,3762,1259,796,228
"S085",7982,3882,1220,740,200
"S086",10227,5767,1701,1102,295
"S087",9869,5135,1445,916,248
"S088",12037,5323,1804,1237,400
"S089",212,113,22,11,3
"S090",220,119,29,14,7
"S091",651,255,80,24,11
"S092",2404,722,252,106,50
"S093",240,120,30,16,3
"S094",269,100,35,20,2
"S095",699,256,46,46,16
"S096",200,111,32,14,5
"S097",805,323,111,49,15
"S098",286,113,37,22,4
"S099",705,283,88,42,14
"S100",250,97,21,19,4
"S101",296,114,30,15,5
"S102",418,167,48,32,13
"S103",1336,542,148,79,70
"S104",456,225,63,25,6
"S105",332,157,55,16,11
"S106",615,269,73,48,22
"S107",724,285,76,33,18
"S108",994,392,120,54,38
"S109",610,247,106,49,15
"S110",298,142,27,15,10
"S111",151,63,25,18,7
"S112",323,129,39,35,10
"S113",338,127,49,19,5
"S114",931,354,98,40,21
"S115",709,270,69,42,13
"S116",405,159,49,26,8
"S117",622,291,70,48,19
"S118",170,64,22,23,3
"S119",1000,430,170,69,31
"S120",543,181,54,32,10
"S121",386,159,50,37,6
"S122",143,45,14,10,2
"S123",303,129,41,21,3
"S124",372,173,48,22,8
"S125",710,273,96,55,16
"S126",249,108,24,15,11
"S127",176,78,28,15,5
"S128",499,195,65,36,7
"S129",308,93,26,20,8
"S130",964,382,133,67,15
"S131",495,222,61,36,11
"S132",857,283,79,29,13
"S133",145,59,16,16,5
"S134",695,178,51,22,8
"S135",531,201,81,36,13
"S136",796,321,73,43,16
"S137",636,257,119,31,10
"S138",566,237,60,52,9
"S139",1084,462,117,62,16
"S140",178,73,17,14,7
"S141",1586,513,131,82,24
"S142",851,313,84,61,11
"S143",760,280,100,47,13
"S144",17774,8173,2961,2370,630
"S145",21912,9981,4352,1690,874
"S146",20237,8394,3657,1757,586
"S147",17563,7843,3112,1387,634
"S148",19615,7238,2843,1917,567
"S149",20714,9826,3121,1904,561
"S150",22851,9185,3749,2016,856
"S151",115,43,3,19,0
"S152",1589,600,214,110,9
