"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop(last/first)"
"S001",56307,56260,56166,54687,54687,54646,54483,0.96760615909212
"S002",34822,34786,34744,34021,34021,34006,33947,0.974872207225317
"S003",49941,49895,49866,49104,49104,49102,48871,0.978574718167438
"S004",52349,52322,52287,51748,51748,51729,51567,0.985061796786949
"S005",49448,49414,49369,48031,48031,48025,47896,0.968613492962304
"S006",48206,48171,48011,46885,46885,46780,46734,0.969464382027134
"S007",32132,32108,32073,31560,31560,25213,25054,0.779721150255197
"S008",35843,35795,35741,35356,35356,35225,35167,0.981139971542561
"S009",79975,79907,79710,78121,78121,77734,77620,0.970553297905596
"S010",58896,58854,58694,57196,57196,57111,57055,0.968741510459114
"S011",67751,67721,67631,66035,66035,65997,65827,0.971601895174979
"S012",66012,65941,65753,63850,63850,63772,63564,0.962915833484821
"S013",71355,71299,71167,69729,69729,69695,69490,0.973863078971341
"S014",75302,75272,75151,73103,73103,73072,72895,0.968035377546413
"S015",45890,45857,45819,44697,44697,44146,44065,0.960230987143168
"S016",51526,51490,51460,51034,51034,51014,50691,0.983794589139464
"S017",53043,52995,52923,52160,52160,52118,52039,0.98107196048489
"S018",34001,33960,33917,33467,33467,33456,33368,0.981382900502926
"S019",49510,49468,49380,48219,48219,48160,48110,0.971722884265805
"S020",45977,45942,45870,44868,44868,44458,44358,0.964786741196685
"S021",46568,46523,46462,45839,45839,45733,45650,0.980286892286549
"S022",51632,51603,51522,50233,50233,50026,49979,0.967984970560892
"S023",29032,28974,28911,28178,28178,28150,28089,0.967518600165335
"S024",18336,18317,18291,18032,18032,18019,17961,0.979548429319372
"S025",46756,46686,46657,44889,44889,44886,44720,0.956454786551459
"S026",27499,27466,27430,26507,26507,26498,26458,0.962144077966472
"S027",39147,39120,39061,37957,37957,37942,37848,0.966817380642195
"S028",32556,32524,32412,31862,31862,31814,31785,0.976317729450792
"S029",30625,30593,30554,30174,30174,30144,30033,0.980669387755102
"S030",36456,36426,36389,35450,35450,35425,35321,0.96886657888962
"S031",15527,15519,15480,15167,15167,15121,15103,0.972692728795002
"S032",3859,3849,3843,3792,3792,3770,3758,0.973827416429127
"S033",50792,50727,50637,49980,49980,49899,49848,0.981414395967869
"S034",30798,30762,30691,30236,30236,30137,30079,0.97665432820313
"S035",64019,63974,63875,61742,61742,61680,61570,0.961745731735891
"S036",54121,54090,53992,52672,52672,52617,52499,0.97003011769923
"S037",75972,75869,75782,73312,73312,73133,72947,0.960182698889064
"S038",81148,81082,80930,78410,78410,78370,78207,0.963757578745009
"S039",54129,54098,54035,52651,52651,52638,52577,0.971327754068983
"S040",36214,36179,36054,35600,35600,35595,35553,0.981747390511957
"S041",63997,63960,63876,62075,62075,62057,61786,0.965451505539322
"S042",30936,30833,30780,29934,29934,29934,29879,0.965832686837342
"S043",52680,52636,52517,51696,51696,42715,42606,0.80876993166287
"S044",52874,52825,52763,51910,51910,51790,51582,0.975564549684155
"S045",56768,56726,56598,55788,55788,55658,55557,0.978667559188275
"S046",72445,72412,72275,70738,70738,70537,70448,0.972434260473463
"S047",33763,33732,33623,32678,32678,32601,32564,0.964487752865563
"S048",27361,27341,27312,26971,26971,26957,26851,0.981360330397281
"S049",59867,59835,59707,58055,58055,58020,57944,0.967878798002238
"S050",18210,18145,18107,17716,17716,17704,17660,0.969796814936848
"S051",48762,48742,48648,47481,47481,47067,46949,0.962819408555843
"S052",67429,67383,67201,66364,66364,66321,66255,0.982589093713387
"S053",77162,77130,77074,75650,75650,75584,75235,0.975026567481403
"S054",78487,78435,78310,76491,76491,76463,76318,0.972364850229974
"S055",29410,29382,29303,28801,28801,28772,28729,0.976844610676641
"S056",38249,38225,38181,37523,37523,37356,37268,0.974352270647599
"S057",45058,44979,44922,44442,44442,44368,44211,0.981202006302987
"S058",17405,17350,17306,17048,17048,17003,16980,0.975581729388107
"S059",78760,78689,78435,76160,76160,75565,75500,0.95860843067547
"S060",74029,73981,73874,72365,72365,72271,72140,0.974482972889003
"S061",41488,41447,41396,40289,40289,40253,39919,0.962181835711531
"S062",65643,65592,65307,63671,63671,63643,63451,0.966607254391177
"S063",112749,112690,112640,109515,109515,109515,109089,0.967538514754011
"S064",21473,21426,21401,20979,20979,20979,20884,0.972570204442789
"S065",59766,59730,59685,58250,58250,58250,58021,0.970802797577218
"S066",27344,27314,27307,26787,26787,26787,26672,0.975424224692803
"S067",75490,75470,75431,73494,73494,73494,73155,0.969068750827924
"S068",54762,54741,54700,53736,53736,53732,53518,0.977283517767795
"S069",71776,71742,71702,69671,69671,69671,69396,0.96684128399465
"S070",82003,81963,81918,79617,79617,79617,79280,0.966793897784227
"S071",63137,63112,63089,61354,61354,61354,61099,0.967720987693429
"S072",45999,45981,45970,45208,45208,45208,44984,0.977934302919629
"S073",52133,52115,52099,50903,50903,50903,50703,0.972570157098191
"S074",37717,37684,37669,37035,37035,37034,36913,0.978683352334491
"S075",53766,53747,53728,52201,52201,52201,52008,0.967302756388796
"S076",60259,60222,60197,58541,58541,58541,58318,0.967789043960238
"S077",49075,49063,49050,47778,47778,47778,47600,0.969943963321447
"S078",58553,58529,58500,56901,56901,56901,56684,0.96808020084368
"S079",3465,3459,3458,3410,3410,3410,3410,0.984126984126984
"S080",5802,5784,5782,5749,5749,5748,5744,0.990003447087211
"S081",39116,39091,39082,38074,38074,38074,37936,0.969833316290009
"S082",27326,27308,27301,26749,26749,26749,26644,0.975042084461685
"S083",35360,35341,35326,34333,34333,34333,34209,0.967449095022624
"S084",36138,36119,36104,35164,35164,35164,35053,0.969976202335492
"S085",31779,31763,31742,30887,30887,30887,30783,0.9686585480978
"S086",31017,30991,30976,30112,30112,30112,30008,0.967469452235871
"S087",29364,29350,29341,28633,28633,28633,28530,0.971597874948917
"S088",25361,25351,25340,24840,24840,24840,24761,0.976341626907456
"S089",48933,48897,48829,48251,48251,48093,47945,0.979809126765169
