file                                        format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
RMR-103_Ogura_coi_S001_checked_R1.fastq.gz  FASTQ   DNA     24,345   5,307,363      215      218      224  218  218  218        0  218   98.59   97.87
RMR-103_Ogura_coi_S002_checked_R1.fastq.gz  FASTQ   DNA     79,668  17,368,168      213      218      224  218  218  218        0  218   98.44   97.66
RMR-103_Ogura_coi_S003_checked_R1.fastq.gz  FASTQ   DNA     65,141  14,201,153      215      218      226  218  218  218        0  218   98.66   97.93
RMR-103_Ogura_coi_S004_checked_R1.fastq.gz  FASTQ   DNA     60,376  13,162,410      215      218      224  218  218  218        0  218   98.96   98.39
RMR-103_Ogura_coi_S005_checked_R1.fastq.gz  FASTQ   DNA     75,542  16,468,772      216      218      225  218  218  218        0  218   98.85   98.23
RMR-103_Ogura_coi_S006_checked_R1.fastq.gz  FASTQ   DNA     61,843  13,482,264      213      218      224  218  218  218        0  218   98.34   97.46
RMR-103_Ogura_coi_S007_checked_R1.fastq.gz  FASTQ   DNA     37,712   8,221,465      214      218      224  218  218  218        0  218   98.73   97.99
RMR-103_Ogura_coi_S008_checked_R1.fastq.gz  FASTQ   DNA     46,973  10,240,489      213      218      225  218  218  218        0  218   98.63   97.85
RMR-103_Ogura_coi_S009_checked_R1.fastq.gz  FASTQ   DNA     38,636   8,422,938      214      218      224  218  218  218        0  218   98.69   98.06
RMR-103_Ogura_coi_S010_checked_R1.fastq.gz  FASTQ   DNA     79,508  17,333,322      215      218      224  218  218  218        0  218   98.51   97.71
RMR-103_Ogura_coi_S011_checked_R1.fastq.gz  FASTQ   DNA     37,047   8,076,497      216      218      224  218  218  218        0  218   98.29   97.35
RMR-103_Ogura_coi_S012_checked_R1.fastq.gz  FASTQ   DNA     64,879  14,144,080      214      218      226  218  218  218        0  218   98.28   97.33
RMR-103_Ogura_coi_S013_checked_R1.fastq.gz  FASTQ   DNA     60,636  13,219,026      215      218      225  218  218  218        0  218   98.63   97.83
