"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop(last/first)"
"S001",24345,24076,24063,23907,23907,23907,23898,0.981638940234134
"S002",79668,78677,78572,77430,77430,77430,77384,0.971331023748557
"S003",65141,64632,64603,64319,64319,64319,64236,0.986107060069695
"S004",60376,60002,59749,59381,59381,59381,58994,0.977110109977474
"S005",75542,75002,74948,74446,74446,74446,74230,0.982632178126076
"S006",61843,61056,61017,60436,60436,60436,60414,0.976893100270039
"S007",37712,37369,37351,37162,37162,37162,37155,0.985230165464574
"S008",46973,46533,46473,46178,46178,46178,46166,0.982819917825134
"S009",38636,38265,38141,37863,37863,37863,37857,0.979837457293716
"S010",79508,78503,78431,77830,77830,77830,77811,0.97865623585048
"S011",37047,36651,36568,36017,36017,36017,36008,0.971954544227603
"S012",64879,64066,63945,62848,62848,62848,62712,0.966599361889055
"S013",60636,60099,59929,59407,59407,59407,59379,0.97926974074807
"S014",25203,24957,24952,24691,24691,24691,24686,0.979486569059239
"S015",66371,65614,65558,64979,64979,64979,64810,0.976480691868437
"S016",47731,47339,47297,46443,46443,46443,46425,0.972638327292535
"S017",57850,57472,57450,57018,57018,57018,56471,0.976162489196197
"S018",56964,56512,56470,55914,55914,55914,55850,0.980443789059757
"S019",49842,49450,49398,49046,49046,49046,49042,0.983949279723928
"S020",44859,44460,44434,44278,44278,44278,44255,0.986535589290889
"S021",37882,37524,37501,37223,37223,37223,37216,0.982419090861095
"S022",58523,57945,57859,57592,57592,57592,57563,0.98359619294978
"S023",35027,34689,34564,34132,34132,34132,34122,0.974162788705855
"S024",24734,24465,24403,24167,24167,24167,24138,0.975903614457831
"S025",62644,61853,61756,60781,60781,60781,60690,0.96880786667518
"S026",47179,46663,46541,46129,46129,46129,46115,0.977447593208843
"S027",26623,26348,26345,26177,26177,26177,26174,0.983134883371521
"S028",68453,67934,67843,67399,67399,67399,67244,0.982338246680204
"S029",52100,51622,51488,51185,51185,51185,51066,0.980153550863724
"S030",54158,53669,53641,53360,53360,53360,53315,0.984434432586137
"S031",51058,50590,50519,49916,49916,49916,49910,0.977515766383329
"S032",49949,49418,49335,48970,48970,48970,48899,0.978978558129292
"S033",80550,79803,79706,79268,79268,79268,79247,0.983823711980137
"S034",56900,56354,56250,55945,55945,55945,55797,0.980615114235501
"S035",78294,77455,77345,76871,76871,76871,76624,0.978670140751526
"S036",51409,50975,50924,50589,50589,50589,50334,0.979089264525667
"S037",39919,39500,39418,39112,39112,39112,39059,0.978456374157669
"S038",71776,71103,71014,70082,70082,70082,70039,0.975799710209541
"S039",17024,16836,16833,16746,16746,16746,16702,0.981085526315789
"S040",59261,58770,58700,58323,58323,58323,58291,0.983631730817907
"S041",46451,46147,46088,45749,45749,45749,45342,0.97612537943209
"S042",48115,47701,47643,47473,47473,47473,47431,0.985784059025252
"S043",35915,35561,35476,35335,35335,35335,35307,0.98307114019212
"S044",42483,42133,42094,41893,41893,41893,41864,0.985429465904009
"S045",33534,33209,33153,32924,32924,32924,32895,0.980944712828771
"S046",45762,45404,45307,45073,45073,45073,45037,0.984157160963245
"S047",33978,33657,33614,33270,33270,33270,33239,0.978250632762376
"S048",34060,33750,33713,33551,33551,33551,33541,0.984762184380505
"S049",75204,74284,74264,73969,73969,73969,73964,0.983511515344928
"S050",68140,67421,67314,66223,66223,66223,66199,0.971514528911065
"S051",75207,73613,73560,72929,72929,72929,72562,0.964830401425399
"S052",42353,41857,41708,41216,41216,41216,41208,0.972965315325951
"S053",64062,63677,63598,63069,63069,63069,62476,0.975242733601823
"S054",59380,58925,58912,58431,58431,58431,58387,0.983277197709667
"S055",45010,44446,44324,43995,43995,43995,43984,0.977205065540991
"S056",50573,50048,50019,49868,49868,49868,49854,0.985782927649141
"S057",76988,76129,76057,75696,75696,75696,75633,0.982399854522783
