"","std_rank1","std_rank2","std_rank3","std_rank4","std_rank5"
"S001",6898,5839,313,950,1
"S002",5236,3067,208,765,475
"S003",3206,2694,360,543,0
"S004",278,287,18,22,5
"S005",1560,891,33,238,93
"S006",7123,4595,763,1056,50
"S007",3080,1405,397,226,10
"S008",2258,1172,87,171,0
"S009",3514,2671,132,77,190
"S010",7245,6190,525,791,163
"S011",2325,1556,177,251,1
"S012",1299,1002,67,76,0
"S013",1627,1239,45,240,37
"S014",6051,4154,330,893,125
"S015",2527,1821,263,141,6
"S016",660,391,103,24,1
"S017",115,80,6,14,5
"S018",3145,2869,346,251,22
"S019",2986,1877,167,96,284
"S020",2396,1926,325,223,0
"S021",2305,1770,420,325,87
"S022",2851,2033,253,237,60
"S023",1155,795,204,175,27
"S024",6261,4955,186,710,456
"S025",3150,1981,137,214,46
"S026",3999,3702,225,355,59
"S027",7217,5442,838,166,6
"S028",556,660,4,110,0
"S029",293,215,46,37,6
"S030",6379,4754,188,248,0
"S031",1954,2369,319,259,7
"S032",1463,751,106,47,75
"S033",2918,1481,195,308,72
"S034",334,296,56,39,1
"S035",3032,1366,345,302,101
"S036",4972,3089,251,26,6
"S037",643,479,49,58,10
"S038",6840,6344,702,736,385
"S039",2311,1554,345,190,221
"S040",3370,3152,474,455,55
"S041",18,14,1,4,0
"S042",343,415,129,65,0
"S043",246,173,21,16,0
"S044",1800,1782,217,198,48
"S045",550,510,52,56,13
"S046",1602,1376,194,61,0
"S047",2407,2006,181,82,94
"S048",1665,1780,179,295,0
"S049",5189,3320,351,126,0
"S050",5378,5527,487,193,219
"S051",3813,2352,400,356,79
"S052",287,189,32,68,0
"S053",54,36,10,11,0
"S054",4737,3508,516,381,1
"S055",1376,1649,126,439,9
"S056",2776,2989,336,113,111
"S057",2232,2544,220,138,33
"S058",4104,4587,417,498,414
"S059",3172,1914,394,513,0
"S060",3462,1892,182,302,179
"S061",254,184,45,37,0
"S062",9644,5907,1275,1414,109
"S063",22380,18949,2284,2914,2
"S064",27448,12542,3567,4092,1167
"S065",29732,26690,4645,1790,1357
"S066",32351,20624,2293,210,10
"S067",26342,13455,1641,15,1
"S068",12158,7011,33,1276,534
"S069",14972,8211,627,415,0
"S070",25595,18230,3252,2565,1201
"S071",27503,20243,1907,2799,603
"S072",36705,21332,3257,2694,1236
"S073",32337,22250,3066,5510,639
"S074",16532,12347,923,1300,1143
"S075",15326,18823,2233,2360,0
"S076",15698,7356,2898,2562,612
"S077",25477,20531,1802,2288,930
"S078",21443,23914,690,266,1314
"S079",19,20,5,1,2
"S080",15,6,0,1,0
"S081",59568,54122,12402,4242,1484
"S082",25868,17260,6523,2215,6
"S083",6351,4861,1045,3699,0
"S084",17818,13159,0,730,966
"S085",21228,19702,1356,2657,1372
"S086",16988,25863,920,1515,1983
"S087",12081,15191,2317,1197,0
"S088",9933,7687,249,1419,817
"S089",789,638,58,43,0
"S090",155,145,2,25,0
"S091",2082,2151,166,79,24
"S092",1088,644,62,51,2
"S093",119,108,5,26,4
"S094",678,583,80,122,22
"S095",300,234,18,15,0
"S096",29,15,4,3,2
"S097",1411,1126,120,131,52
"S098",1514,1367,2,141,2
"S099",2055,1453,88,188,20
"S100",373,316,139,40,0
"S101",1973,1403,61,192,63
"S102",1789,1280,89,95,4
"S103",356,164,79,1,0
"S104",676,723,57,76,0
"S105",264,230,13,17,7
"S106",98,100,7,2,0
"S107",123,113,14,5,0
"S108",1034,1075,226,181,24
"S109",764,486,24,47,0
"S110",33,31,0,2,0
"S111",51,26,3,8,0
"S112",1691,1795,342,315,16
"S113",575,209,32,75,0
"S114",298,178,24,12,1
"S115",867,512,65,60,0
"S116",84,59,0,0,0
"S117",50,55,4,3,2
"S118",48,34,3,4,1
"S119",53,44,3,4,1
"S120",180,108,73,55,0
"S121",977,540,30,286,135
"S122",257,237,30,33,14
"S123",651,653,91,44,117
"S124",127,76,9,20,1
"S125",33,26,6,2,1
"S126",1067,699,84,120,33
"S127",632,323,126,80,26
"S128",731,553,57,151,9
"S129",917,683,83,137,13
"S130",617,530,28,59,43
"S131",1450,1077,121,94,32
"S132",641,375,81,73,17
"S133",986,790,67,80,44
"S134",3551,2830,276,401,38
"S135",1045,531,125,81,45
"S136",366,247,17,23,0
"S137",582,427,51,57,9
"S138",989,777,33,111,4
"S139",1304,1012,174,115,3
"S140",219,154,36,36,8
"S141",482,417,38,56,13
"S142",852,652,106,44,19
"S143",696,534,56,76,9
"S144",3061,2995,4,251,6
"S145",8650,6562,497,1176,131
"S146",4664,3426,847,346,201
"S147",5432,5918,396,862,1
"S148",3274,3624,615,282,56
"S149",4867,3806,545,547,280
"S150",5780,6889,289,626,5
"S151",64,44,2,5,0
"S152",129,152,2,16,3
