file                                        format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
RMR-080_Ogura_fun_S001_checked_R1.fastq.gz  FASTQ   DNA         59      13,094      220    221.9      223  222  222  222        0  222    94.4   90.97
RMR-080_Ogura_fun_S001_checked_R2.fastq.gz  FASTQ   DNA         59      13,334      226      226      226  113  226  113        0  226    88.8   82.51
RMR-080_Ogura_fun_S002_checked_R1.fastq.gz  FASTQ   DNA      4,629   1,027,814      219      222      226  222  222  222        0  222   90.85   85.87
RMR-080_Ogura_fun_S002_checked_R2.fastq.gz  FASTQ   DNA      4,629   1,046,195      225      226      231  226  226  226        0  226   87.42   80.41
RMR-080_Ogura_fun_S003_checked_R1.fastq.gz  FASTQ   DNA     12,075   2,681,129      218      222      228  222  222  222        0  222   95.48   92.59
RMR-080_Ogura_fun_S003_checked_R2.fastq.gz  FASTQ   DNA     12,075   2,729,066      224      226      231  226  226  226        0  226   89.77    83.8
RMR-080_Ogura_fun_S004_checked_R1.fastq.gz  FASTQ   DNA     13,620   3,023,804      219      222      228  222  222  222        0  222   96.35   93.94
RMR-080_Ogura_fun_S004_checked_R2.fastq.gz  FASTQ   DNA     13,620   3,078,339      223      226      231  226  226  226        0  226   90.29   84.59
RMR-080_Ogura_fun_S005_checked_R1.fastq.gz  FASTQ   DNA      7,156   1,589,011      220    222.1      226  222  222  222        0  222   95.29   92.35
RMR-080_Ogura_fun_S005_checked_R2.fastq.gz  FASTQ   DNA      7,156   1,617,314      224      226      231  226  226  226        0  226   89.72   83.57
RMR-080_Ogura_fun_S006_checked_R1.fastq.gz  FASTQ   DNA     33,405   7,416,892      219      222      229  222  222  222        0  222   96.53   94.53
RMR-080_Ogura_fun_S006_checked_R2.fastq.gz  FASTQ   DNA     33,405   7,549,937      223      226      231  226  226  226        0  226   90.84   85.73
RMR-080_Ogura_fun_S007_checked_R1.fastq.gz  FASTQ   DNA      7,326   1,626,656      219      222      226  222  222  222        0  222   95.43   92.58
RMR-080_Ogura_fun_S007_checked_R2.fastq.gz  FASTQ   DNA      7,326   1,655,774      224      226      231  226  226  226        0  226   89.63   83.47
RMR-080_Ogura_fun_S008_checked_R1.fastq.gz  FASTQ   DNA      5,541   1,230,456      220    222.1      225  222  222  222        0  222   92.15   87.86
RMR-080_Ogura_fun_S008_checked_R2.fastq.gz  FASTQ   DNA      5,541   1,252,329      224      226      228  226  226  226        0  226   88.66   82.57
RMR-080_Ogura_fun_S009_checked_R1.fastq.gz  FASTQ   DNA     10,905   2,420,895      219      222      228  222  222  222        0  222   95.23   92.41
RMR-080_Ogura_fun_S009_checked_R2.fastq.gz  FASTQ   DNA     10,905   2,464,635      222      226      229  226  226  226        0  226   89.48   83.56
RMR-080_Ogura_fun_S010_checked_R1.fastq.gz  FASTQ   DNA     11,785   2,616,228      218      222      228  222  222  222        0  222   96.63   94.49
RMR-080_Ogura_fun_S010_checked_R2.fastq.gz  FASTQ   DNA     11,785   2,663,540      223      226      230  226  226  226        0  226   90.09   84.09
RMR-080_Ogura_fun_S011_checked_R1.fastq.gz  FASTQ   DNA      9,142   2,029,954      219      222      228  222  222  222        0  222    95.9   93.47
RMR-080_Ogura_fun_S011_checked_R2.fastq.gz  FASTQ   DNA      9,142   2,066,204      224      226      229  226  226  226        0  226   88.87   82.51
RMR-080_Ogura_fun_S012_checked_R1.fastq.gz  FASTQ   DNA     94,354  20,949,229      219      222      229  222  222  222        0  222   97.95   96.84
RMR-080_Ogura_fun_S012_checked_R2.fastq.gz  FASTQ   DNA     94,354  21,325,099      222      226      232  226  226  226        0  226    91.4   86.56
RMR-080_Ogura_fun_S013_checked_R1.fastq.gz  FASTQ   DNA     32,270   7,164,875      218      222      229  222  222  222        0  222   96.96   95.17
RMR-080_Ogura_fun_S013_checked_R2.fastq.gz  FASTQ   DNA     32,270   7,293,310      224      226      232  226  226  226        0  226   92.39   87.78
RMR-080_Ogura_fun_S014_checked_R1.fastq.gz  FASTQ   DNA     13,849   3,075,070      220      222      228  222  222  222        0  222   96.11   93.67
RMR-080_Ogura_fun_S014_checked_R2.fastq.gz  FASTQ   DNA     13,849   3,130,039      224      226      230  226  226  226        0  226   90.31   84.47
RMR-080_Ogura_fun_S015_checked_R1.fastq.gz  FASTQ   DNA     25,695   5,705,070      219      222      229  222  222  222        0  222   94.38   91.01
RMR-080_Ogura_fun_S015_checked_R2.fastq.gz  FASTQ   DNA     25,695   5,807,385      223      226      233  226  226  226        0  226    85.3   77.54
RMR-080_Ogura_fun_S016_checked_R1.fastq.gz  FASTQ   DNA      7,918   1,758,219      221    222.1      228  222  222  222        0  222   95.67   93.16
RMR-080_Ogura_fun_S016_checked_R2.fastq.gz  FASTQ   DNA      7,918   1,789,556      224      226      229  226  226  226        0  226   89.38   83.37
RMR-080_Ogura_fun_S017_checked_R1.fastq.gz  FASTQ   DNA     14,207   3,154,484      218      222      227  222  222  222        0  222   94.58   91.34
RMR-080_Ogura_fun_S017_checked_R2.fastq.gz  FASTQ   DNA     14,207   3,210,954      225      226      232  226  226  226        0  226   89.48    83.4
RMR-080_Ogura_fun_S018_checked_R1.fastq.gz  FASTQ   DNA      5,381   1,194,804      221      222      227  222  222  222        0  222   90.73   85.42
RMR-080_Ogura_fun_S018_checked_R2.fastq.gz  FASTQ   DNA      5,381   1,216,161      224      226      229  226  226  226        0  226   88.09   81.01
RMR-080_Ogura_fun_S019_checked_R1.fastq.gz  FASTQ   DNA     10,602   2,354,133      221      222      228  222  222  222        0  222   94.68   91.72
RMR-080_Ogura_fun_S019_checked_R2.fastq.gz  FASTQ   DNA     10,602   2,396,180      224      226      231  226  226  226        0  226   88.37   82.12
RMR-080_Ogura_fun_S020_checked_R1.fastq.gz  FASTQ   DNA      5,558   1,234,197      219    222.1      225  222  222  222        0  222   94.65   91.73
RMR-080_Ogura_fun_S020_checked_R2.fastq.gz  FASTQ   DNA      5,558   1,256,181      224      226      232  226  226  226        0  226   86.97    80.1
RMR-080_Ogura_fun_S021_checked_R1.fastq.gz  FASTQ   DNA      7,738   1,718,071      220      222      228  222  222  222        0  222   94.97   92.04
RMR-080_Ogura_fun_S021_checked_R2.fastq.gz  FASTQ   DNA      7,738   1,748,866      223      226      231  226  226  226        0  226   85.37   78.42
RMR-080_Ogura_fun_S022_checked_R1.fastq.gz  FASTQ   DNA     15,330   3,402,526      220      222      228  222  222  222        0  222   96.09   93.81
RMR-080_Ogura_fun_S022_checked_R2.fastq.gz  FASTQ   DNA     15,330   3,464,743      223      226      230  226  226  226        0  226    88.8   82.89
RMR-080_Ogura_fun_S023_checked_R1.fastq.gz  FASTQ   DNA     11,835   2,627,249      219      222      227  222  222  222        0  222   91.03   86.56
RMR-080_Ogura_fun_S023_checked_R2.fastq.gz  FASTQ   DNA     11,835   2,674,834      224      226      229  226  226  226        0  226   88.75   82.53
RMR-080_Ogura_fun_S024_checked_R1.fastq.gz  FASTQ   DNA      3,260     723,845      218      222      227  222  222  222        0  222   88.23   82.27
RMR-080_Ogura_fun_S024_checked_R2.fastq.gz  FASTQ   DNA      3,260     736,801      225      226      229  226  226  226        0  226   88.25   81.52
RMR-080_Ogura_fun_S025_checked_R1.fastq.gz  FASTQ   DNA     51,345  11,400,145      220      222      229  222  222  222        0  222   96.85    95.2
RMR-080_Ogura_fun_S025_checked_R2.fastq.gz  FASTQ   DNA     51,345  11,604,480      223      226      231  226  226  226        0  226   91.94    87.3
RMR-080_Ogura_fun_S026_checked_R1.fastq.gz  FASTQ   DNA      9,951   2,209,445      218      222      228  222  222  222        0  222   93.94   90.81
RMR-080_Ogura_fun_S026_checked_R2.fastq.gz  FASTQ   DNA      9,951   2,249,025      224      226      228  226  226  226        0  226   91.66   86.64
RMR-080_Ogura_fun_S027_checked_R1.fastq.gz  FASTQ   DNA      9,291   2,063,006      220      222      228  222  222  222        0  222   95.48   92.43
RMR-080_Ogura_fun_S027_checked_R2.fastq.gz  FASTQ   DNA      9,291   2,099,888      224      226      231  226  226  226        0  226   88.81   81.96
RMR-080_Ogura_fun_S028_checked_R1.fastq.gz  FASTQ   DNA     32,383   7,190,084      218      222      230  222  222  222        0  222   96.79   95.03
RMR-080_Ogura_fun_S028_checked_R2.fastq.gz  FASTQ   DNA     32,383   7,318,941      223      226      233  226  226  226        0  226   90.51   85.09
RMR-080_Ogura_fun_S029_checked_R1.fastq.gz  FASTQ   DNA     27,242   6,048,289      219      222      230  222  222  222        0  222   96.49   94.23
RMR-080_Ogura_fun_S029_checked_R2.fastq.gz  FASTQ   DNA     27,242   6,156,981      224      226      230  226  226  226        0  226   88.93   82.94
RMR-080_Ogura_fun_S030_checked_R1.fastq.gz  FASTQ   DNA        313      69,505      222    222.1      224  222  222  222        0  222   94.84   91.83
RMR-080_Ogura_fun_S030_checked_R2.fastq.gz  FASTQ   DNA        313      70,744      225      226      227  226  226  226        0  226   87.54   80.58
RMR-080_Ogura_fun_S031_checked_R1.fastq.gz  FASTQ   DNA     12,613   2,800,450      220      222      230  222  222  222        0  222   94.36    91.2
RMR-080_Ogura_fun_S031_checked_R2.fastq.gz  FASTQ   DNA     12,613   2,850,651      224      226      231  226  226  226        0  226   89.39   83.56
RMR-080_Ogura_fun_S032_checked_R1.fastq.gz  FASTQ   DNA      1,914     424,961      221      222      225  222  222  222        0  222   85.16   77.25
RMR-080_Ogura_fun_S032_checked_R2.fastq.gz  FASTQ   DNA      1,914     432,587      225      226      231  226  226  226        0  226   84.59   76.05
RMR-080_Ogura_fun_S033_checked_R1.fastq.gz  FASTQ   DNA     11,693   2,596,286      219      222      227  222  222  222        0  222    93.1   89.29
RMR-080_Ogura_fun_S033_checked_R2.fastq.gz  FASTQ   DNA     11,693   2,642,739      224      226      229  226  226  226        0  226   87.04   80.66
RMR-080_Ogura_fun_S034_checked_R1.fastq.gz  FASTQ   DNA     14,479   3,214,194      219      222      229  222  222  222        0  222    89.2   83.81
RMR-080_Ogura_fun_S034_checked_R2.fastq.gz  FASTQ   DNA     14,479   3,272,428      223      226      233  226  226  226        0  226   88.75   82.53
RMR-080_Ogura_fun_S035_checked_R1.fastq.gz  FASTQ   DNA     26,299   5,837,941      219      222      228  222  222  222        0  222   96.13   93.98
RMR-080_Ogura_fun_S035_checked_R2.fastq.gz  FASTQ   DNA     26,299   5,943,879      223      226      231  226  226  226        0  226   90.42   85.11
RMR-080_Ogura_fun_S036_checked_R1.fastq.gz  FASTQ   DNA      9,528   2,115,661      220      222      229  222  222  222        0  222    95.7   93.19
RMR-080_Ogura_fun_S036_checked_R2.fastq.gz  FASTQ   DNA      9,528   2,153,434      225      226      230  226  226  226        0  226   90.75   85.31
RMR-080_Ogura_fun_S037_checked_R1.fastq.gz  FASTQ   DNA    115,721  25,693,300      219      222      230  222  222  222        0  222   97.45   96.03
RMR-080_Ogura_fun_S037_checked_R2.fastq.gz  FASTQ   DNA    115,721  26,154,012      222      226      234  226  226  226        0  226   93.26   89.15
RMR-080_Ogura_fun_S038_checked_R1.fastq.gz  FASTQ   DNA     61,360  13,623,678      219      222      230  222  222  222        0  222   97.26   95.81
RMR-080_Ogura_fun_S038_checked_R2.fastq.gz  FASTQ   DNA     61,360  13,867,973      222      226      231  226  226  226        0  226   93.15   89.04
RMR-080_Ogura_fun_S039_checked_R1.fastq.gz  FASTQ   DNA     15,193   3,373,264      221      222      228  222  222  222        0  222   94.68   91.06
RMR-080_Ogura_fun_S039_checked_R2.fastq.gz  FASTQ   DNA     15,193   3,433,804      225      226      229  226  226  226        0  226   90.43   84.22
RMR-080_Ogura_fun_S040_checked_R1.fastq.gz  FASTQ   DNA     43,151   9,580,791      218      222      230  222  222  222        0  222   92.96   89.32
RMR-080_Ogura_fun_S040_checked_R2.fastq.gz  FASTQ   DNA     43,151   9,752,625      222      226      233  226  226  226        0  226   90.82   85.18
RMR-080_Ogura_fun_S041_checked_R1.fastq.gz  FASTQ   DNA     88,299  19,604,437      218      222      229  222  222  222        0  222   95.67   92.92
RMR-080_Ogura_fun_S041_checked_R2.fastq.gz  FASTQ   DNA     88,299  19,956,557      222      226      234  226  226  226        0  226    89.8   84.41
RMR-080_Ogura_fun_S042_checked_R1.fastq.gz  FASTQ   DNA      4,286     951,681      221      222      224  222  222  222        0  222   93.01   88.86
RMR-080_Ogura_fun_S042_checked_R2.fastq.gz  FASTQ   DNA      4,286     968,671      225      226      232  226  226  226        0  226   64.91   50.95
RMR-080_Ogura_fun_S043_checked_R1.fastq.gz  FASTQ   DNA     21,160   4,697,790      218      222      230  222  222  222        0  222   95.19   92.34
RMR-080_Ogura_fun_S043_checked_R2.fastq.gz  FASTQ   DNA     21,160   4,782,401      224      226      233  226  226  226        0  226   90.07    84.4
RMR-080_Ogura_fun_S044_checked_R1.fastq.gz  FASTQ   DNA      5,556   1,233,710      218    222.1      226  222  222  222        0  222   95.86   93.46
RMR-080_Ogura_fun_S044_checked_R2.fastq.gz  FASTQ   DNA      5,556   1,255,702      225      226      230  226  226  226        0  226   76.64    65.8
RMR-080_Ogura_fun_S045_checked_R1.fastq.gz  FASTQ   DNA     17,940   3,982,798      220      222      228  222  222  222        0  222   96.84   94.85
RMR-080_Ogura_fun_S045_checked_R2.fastq.gz  FASTQ   DNA     17,940   4,054,620      224      226      229  226  226  226        0  226   85.53   78.37
RMR-080_Ogura_fun_S046_checked_R1.fastq.gz  FASTQ   DNA     34,973   7,761,984      218    221.9      229  222  222  222        0  222   96.45   94.37
RMR-080_Ogura_fun_S046_checked_R2.fastq.gz  FASTQ   DNA     34,973   7,904,251      224      226      231  226  226  226        0  226   90.42   85.02
RMR-080_Ogura_fun_S047_checked_R1.fastq.gz  FASTQ   DNA     18,577   4,123,928      219      222      228  222  222  222        0  222   95.02   92.44
RMR-080_Ogura_fun_S047_checked_R2.fastq.gz  FASTQ   DNA     18,577   4,198,640      223      226      234  226  226  226        0  226   85.27   77.76
RMR-080_Ogura_fun_S048_checked_R1.fastq.gz  FASTQ   DNA      3,886     862,811      220      222      225  222  222  222        0  222   91.79   87.24
RMR-080_Ogura_fun_S048_checked_R2.fastq.gz  FASTQ   DNA      3,886     878,276      224      226      230  226  226  226        0  226   82.55   73.25
RMR-080_Ogura_fun_S049_checked_R1.fastq.gz  FASTQ   DNA     17,994   3,995,397      218      222      230  222  222  222        0  222   94.36   91.26
RMR-080_Ogura_fun_S049_checked_R2.fastq.gz  FASTQ   DNA     17,994   4,066,818      223      226      231  226  226  226        0  226   90.08   84.31
RMR-080_Ogura_fun_S050_checked_R1.fastq.gz  FASTQ   DNA     17,986   3,993,427      220      222      230  222  222  222        0  222   91.51    87.5
RMR-080_Ogura_fun_S050_checked_R2.fastq.gz  FASTQ   DNA     17,986   4,065,037      224      226      232  226  226  226        0  226   79.75   70.23
RMR-080_Ogura_fun_S051_checked_R1.fastq.gz  FASTQ   DNA      9,056   2,010,773      220      222      227  222  222  222        0  222   94.91   91.62
RMR-080_Ogura_fun_S051_checked_R2.fastq.gz  FASTQ   DNA      9,056   2,046,736      224      226      231  226  226  226        0  226    89.4   83.01
RMR-080_Ogura_fun_S052_checked_R1.fastq.gz  FASTQ   DNA     96,537  21,433,650      218      222      231  222  222  222        0  222   97.21    95.6
RMR-080_Ogura_fun_S052_checked_R2.fastq.gz  FASTQ   DNA     96,537  21,818,425      223      226      234  226  226  226        0  226   91.09   86.09
RMR-080_Ogura_fun_S053_checked_R1.fastq.gz  FASTQ   DNA    119,712  26,579,051      219      222      231  222  222  222        0  222   95.77   92.92
RMR-080_Ogura_fun_S053_checked_R2.fastq.gz  FASTQ   DNA    119,712  27,056,361      223      226      234  226  226  226        0  226   91.17   86.07
RMR-080_Ogura_fun_S054_checked_R1.fastq.gz  FASTQ   DNA     16,202   3,597,640      219      222      228  222  222  222        0  222   95.47   92.62
RMR-080_Ogura_fun_S054_checked_R2.fastq.gz  FASTQ   DNA     16,202   3,661,852      223      226      231  226  226  226        0  226   89.52   83.27
RMR-080_Ogura_fun_S055_checked_R1.fastq.gz  FASTQ   DNA     16,947   3,762,537      220      222      229  222  222  222        0  222   94.02   90.56
RMR-080_Ogura_fun_S055_checked_R2.fastq.gz  FASTQ   DNA     16,947   3,830,173      223      226      231  226  226  226        0  226   90.19    84.5
RMR-080_Ogura_fun_S056_checked_R1.fastq.gz  FASTQ   DNA      6,523   1,448,324      218      222      224  222  222  222        0  222   93.88   90.06
RMR-080_Ogura_fun_S056_checked_R2.fastq.gz  FASTQ   DNA      6,523   1,474,293      225      226      228  226  226  226        0  226   90.73   85.04
RMR-080_Ogura_fun_S057_checked_R1.fastq.gz  FASTQ   DNA     11,983   2,660,715      220      222      228  222  222  222        0  222    93.9   90.22
RMR-080_Ogura_fun_S057_checked_R2.fastq.gz  FASTQ   DNA     11,983   2,708,284      224      226      230  226  226  226        0  226   88.06   81.85
RMR-080_Ogura_fun_S058_checked_R1.fastq.gz  FASTQ   DNA      7,756   1,721,602      218      222      226  222  222  222        0  222   88.28   82.27
RMR-080_Ogura_fun_S058_checked_R2.fastq.gz  FASTQ   DNA      7,756   1,752,920      224      226      229  226  226  226        0  226   90.21   84.65
RMR-080_Ogura_fun_S059_checked_R1.fastq.gz  FASTQ   DNA      9,580   2,127,115      218      222      229  222  222  222        0  222   93.58   90.61
RMR-080_Ogura_fun_S059_checked_R2.fastq.gz  FASTQ   DNA      9,580   2,165,179      224      226      228  226  226  226        0  226   87.85   81.85
RMR-080_Ogura_fun_S060_checked_R1.fastq.gz  FASTQ   DNA      5,805   1,289,068      220    222.1      227  222  222  222        0  222   94.53   91.69
RMR-080_Ogura_fun_S060_checked_R2.fastq.gz  FASTQ   DNA      5,805   1,311,998      224      226      229  226  226  226        0  226   89.68   84.09
RMR-080_Ogura_fun_S061_checked_R1.fastq.gz  FASTQ   DNA     71,947  15,973,997      218      222      231  222  222  222        0  222   97.57   96.24
RMR-080_Ogura_fun_S061_checked_R2.fastq.gz  FASTQ   DNA     71,947  16,260,767      223      226      233  226  226  226        0  226   93.44   89.45
RMR-080_Ogura_fun_S062_checked_R1.fastq.gz  FASTQ   DNA     30,239   6,713,977      218      222      229  222  222  222        0  222   96.95   95.26
RMR-080_Ogura_fun_S062_checked_R2.fastq.gz  FASTQ   DNA     30,239   6,834,314      223      226      231  226  226  226        0  226   92.55   88.12
RMR-080_Ogura_fun_S063_checked_R1.fastq.gz  FASTQ   DNA     23,714   5,265,868      218    222.1      229  222  222  222        0  222   94.85   91.82
RMR-080_Ogura_fun_S063_checked_R2.fastq.gz  FASTQ   DNA     23,714   5,359,664      223      226      231  226  226  226        0  226   87.65    80.4
RMR-080_Ogura_fun_S064_checked_R1.fastq.gz  FASTQ   DNA      8,806   1,955,242      219      222      227  222  222  222        0  222   85.89   78.43
RMR-080_Ogura_fun_S064_checked_R2.fastq.gz  FASTQ   DNA      8,806   1,990,227      223      226      230  226  226  226        0  226   88.74   82.01
RMR-080_Ogura_fun_S065_checked_R1.fastq.gz  FASTQ   DNA     29,006   6,441,121      218    222.1      229  222  222  222        0  222      92   87.84
RMR-080_Ogura_fun_S065_checked_R2.fastq.gz  FASTQ   DNA     29,006   6,555,638      224      226      232  226  226  226        0  226    83.2   74.57
RMR-080_Ogura_fun_S066_checked_R1.fastq.gz  FASTQ   DNA      3,023     671,313      220    222.1      228  222  222  222        0  222    86.7    79.9
RMR-080_Ogura_fun_S066_checked_R2.fastq.gz  FASTQ   DNA      3,023     683,273      225      226      228  226  226  226        0  226   89.04   82.69
RMR-080_Ogura_fun_S067_checked_R1.fastq.gz  FASTQ   DNA      8,150   1,810,790      220    222.2      229  222  222  222        0  222   87.68   82.53
RMR-080_Ogura_fun_S067_checked_R2.fastq.gz  FASTQ   DNA      8,150   1,841,931      224      226      232  226  226  226        0  226   81.45   73.38
RMR-080_Ogura_fun_S068_checked_R1.fastq.gz  FASTQ   DNA      7,405   1,644,891      221    222.1      230  222  222  222        0  222   89.14   83.92
RMR-080_Ogura_fun_S068_checked_R2.fastq.gz  FASTQ   DNA      7,405   1,673,600      224      226      228  226  226  226        0  226    86.3   79.69
RMR-080_Ogura_fun_S069_checked_R1.fastq.gz  FASTQ   DNA      8,713   1,935,321      220    222.1      228  222  222  222        0  222   92.22   88.47
RMR-080_Ogura_fun_S069_checked_R2.fastq.gz  FASTQ   DNA      8,713   1,969,241      224      226      231  226  226  226        0  226    86.8   80.09
RMR-080_Ogura_fun_S070_checked_R1.fastq.gz  FASTQ   DNA     11,353   2,521,579      220    222.1      231  222  222  222        0  222   92.36   88.37
RMR-080_Ogura_fun_S070_checked_R2.fastq.gz  FASTQ   DNA     11,353   2,565,897      224      226      231  226  226  226        0  226    86.6   79.69
