"query","superkingdom","kingdom","subkingdom","phylum","subphylum","class","subclass","superorder","order","suborder","family","subfamily","tribe","subtribe","genus","species"
"OTU00001","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Dothideomycetidae","","Mycosphaerellales","","","","","","","STD_ITSasco05"
"OTU00002","","","","","","","","","","","","","","","",""
"OTU00003","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Dothideomycetidae","","Mycosphaerellales","","Mycosphaerellaceae","","","","","STD_ITSasco04"
"OTU00004","","","","","","","","","","","","","","","",""
"OTU00005","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00006","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Dothideomycetidae","","Mycosphaerellales","","Mycosphaerellaceae","","","","","STD_ITSasco03"
"OTU00007","","","","","","","","","","","","","","","",""
"OTU00008","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","Terramycetaceae","","","","Boothiomyces",""
"OTU00009","","","","","","","","","","","","","","","",""
"OTU00010","Eukaryota","","","","","","","","","","","","","","",""
"OTU00011","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporomycetidae","","Pleosporales","Pleosporineae","Pleosporaceae","","","","Alternaria",""
"OTU00012","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Dothideomycetidae","","Mycosphaerellales","","Mycosphaerellaceae","","","","","STD_ITSasco02"
"OTU00013","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00014","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporomycetidae","","Pleosporales","Pleosporineae","","","","","",""
"OTU00015","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00016","","","","","","","","","","","","","","","",""
"OTU00017","","","","","","","","","","","","","","","",""
"OTU00018","","","","","","","","","","","","","","","",""
"OTU00019","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis","Zygophlyctis sp."
"OTU00020","","","","","","","","","","","","","","","",""
"OTU00021","","","","","","","","","","","","","","","",""
"OTU00022","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Dothideomycetidae","","Mycosphaerellales","","Mycosphaerellaceae","","","","","STD_ITSasco01"
"OTU00023","","","","","","","","","","","","","","","",""
"OTU00024","","","","","","","","","","","","","","","",""
"OTU00025","","","","","","","","","","","","","","","",""
"OTU00026","","","","","","","","","","","","","","","",""
"OTU00027","","","","","","","","","","","","","","","",""
"OTU00028","","","","","","","","","","","","","","","",""
"OTU00029","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00030","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00031","","","","","","","","","","","","","","","",""
"OTU00032","","","","","","","","","","","","","","","",""
"OTU00033","","","","","","","","","","","","","","","",""
"OTU00034","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Dothideomycetidae","","Cladosporiales","","Cladosporiaceae","","","","Cladosporium",""
"OTU00035","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00036","","","","","","","","","","","","","","","",""
"OTU00037","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","","","","","",""
"OTU00038","Eukaryota","","","","","","","","","","","","","","",""
"OTU00039","","","","","","","","","","","","","","","",""
"OTU00040","","","","","","","","","","","","","","","",""
"OTU00041","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","","","","","",""
"OTU00042","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00043","","","","","","","","","","","","","","","",""
"OTU00044","","","","","","","","","","","","","","","",""
"OTU00045","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00046","","","","","","","","","","","","","","","",""
"OTU00047","","","","","","","","","","","","","","","",""
"OTU00048","","","","","","","","","","","","","","","",""
"OTU00049","","","","","","","","","","","","","","","",""
"OTU00050","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00051","","","","","","","","","","","","","","","",""
"OTU00052","","","","","","","","","","","","","","","",""
"OTU00053","","","","","","","","","","","","","","","",""
"OTU00054","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Leotiomycetes","","","","","Pseudeurotiaceae","","","","Pseudeurotium",""
"OTU00055","","","","","","","","","","","","","","","",""
"OTU00056","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00057","","","","","","","","","","","","","","","",""
"OTU00058","","","","","","","","","","","","","","","",""
"OTU00059","","","","","","","","","","","","","","","",""
"OTU00060","Eukaryota","Fungi","","Blastocladiomycota","","Blastocladiomycetes","","","Blastocladiales","","Blastocladiaceae","","","","Allomyces",""
"OTU00061","","","","","","","","","","","","","","","",""
"OTU00062","","","","","","","","","","","","","","","",""
"OTU00063","","","","","","","","","","","","","","","",""
"OTU00064","","","","","","","","","","","","","","","",""
"OTU00065","","","","","","","","","","","","","","","",""
"OTU00066","","","","","","","","","","","","","","","",""
"OTU00067","Eukaryota","Fungi","Dikarya","","","","","","","","","","","","",""
"OTU00068","","","","","","","","","","","","","","","",""
"OTU00069","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00070","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00071","","","","","","","","","","","","","","","",""
"OTU00072","","","","","","","","","","","","","","","",""
"OTU00073","","","","","","","","","","","","","","","",""
"OTU00074","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00075","","","","","","","","","","","","","","","",""
"OTU00076","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00077","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00078","","","","","","","","","","","","","","","",""
"OTU00079","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00080","","","","","","","","","","","","","","","",""
"OTU00081","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis","Zygophlyctis sp."
"OTU00082","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporomycetidae","","Pleosporales","Pleosporineae","","","","","",""
"OTU00083","","","","","","","","","","","","","","","",""
"OTU00084","Eukaryota","","","","","","","","","","","","","","",""
"OTU00085","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","Rhizophydiaceae","","","","Rhizophydium",""
"OTU00086","","","","","","","","","","","","","","","",""
"OTU00087","","","","","","","","","","","","","","","",""
"OTU00088","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00089","","","","","","","","","","","","","","","",""
"OTU00090","","","","","","","","","","","","","","","",""
"OTU00091","","","","","","","","","","","","","","","",""
"OTU00092","","","","","","","","","","","","","","","",""
"OTU00093","","","","","","","","","","","","","","","",""
"OTU00094","","","","","","","","","","","","","","","",""
"OTU00095","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","","","","","",""
"OTU00096","","","","","","","","","","","","","","","",""
"OTU00097","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00098","","","","","","","","","","","","","","","",""
"OTU00099","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","","","","","","","",""
"OTU00100","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00101","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00102","","","","","","","","","","","","","","","",""
"OTU00103","","","","","","","","","","","","","","","",""
"OTU00104","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00105","","","","","","","","","","","","","","","",""
"OTU00106","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00107","","","","","","","","","","","","","","","",""
"OTU00108","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Polyporales","","","","","","",""
"OTU00109","","","","","","","","","","","","","","","",""
"OTU00110","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","","","","","",""
"OTU00111","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporomycetidae","","Pleosporales","Massarineae","Massarinaceae","","","","",""
"OTU00112","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00113","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00114","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","Rhizophydiaceae","","","","Rhizophydium",""
"OTU00115","","","","","","","","","","","","","","","",""
"OTU00116","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00117","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00118","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00119","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Cladochytriales","","Nowakowskiellaceae","","","","Nowakowskiella",""
"OTU00120","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00121","Eukaryota","Fungi","","Cryptomycota","","","","","","","","","","","","Cryptomycota sp."
"OTU00122","","","","","","","","","","","","","","","",""
"OTU00123","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","Alphamycetaceae","","","","Alphamyces","Alphamyces chaetifer"
"OTU00124","","","","","","","","","","","","","","","",""
"OTU00125","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00126","","","","","","","","","","","","","","","",""
"OTU00127","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00128","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00129","","","","","","","","","","","","","","","",""
"OTU00130","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","","","","","",""
"OTU00131","","","","","","","","","","","","","","","",""
"OTU00132","","","","","","","","","","","","","","","",""
"OTU00133","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00134","","","","","","","","","","","","","","","",""
"OTU00135","","","","","","","","","","","","","","","",""
"OTU00136","","","","","","","","","","","","","","","",""
"OTU00137","","","","","","","","","","","","","","","",""
"OTU00138","","","","","","","","","","","","","","","",""
"OTU00139","","","","","","","","","","","","","","","",""
"OTU00140","","","","","","","","","","","","","","","",""
"OTU00141","","","","","","","","","","","","","","","",""
"OTU00142","","","","","","","","","","","","","","","",""
"OTU00143","","","","","","","","","","","","","","","",""
"OTU00144","","","","","","","","","","","","","","","",""
"OTU00145","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00146","","","","","","","","","","","","","","","",""
"OTU00147","","","","","","","","","","","","","","","",""
"OTU00148","Eukaryota","","","","","","","","","","","","","","",""
"OTU00149","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00150","","","","","","","","","","","","","","","",""
"OTU00151","","","","","","","","","","","","","","","",""
"OTU00152","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00153","","","","","","","","","","","","","","","",""
"OTU00154","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00155","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Leotiomycetes","","","Helotiales","","Rutstroemiaceae","","","","",""
"OTU00156","","","","","","","","","","","","","","","",""
"OTU00157","","","","","","","","","","","","","","","",""
"OTU00158","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00159","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00160","","","","","","","","","","","","","","","",""
"OTU00161","","","","","","","","","","","","","","","",""
"OTU00162","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis","Zygophlyctis sp."
"OTU00163","","","","","","","","","","","","","","","",""
"OTU00164","Eukaryota","","","","","","","","","","","","","","",""
"OTU00165","","","","","","","","","","","","","","","",""
"OTU00166","","","","","","","","","","","","","","","",""
"OTU00167","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","","","","","",""
"OTU00168","","","","","","","","","","","","","","","",""
"OTU00169","","","","","","","","","","","","","","","",""
"OTU00170","","","","","","","","","","","","","","","",""
"OTU00171","","","","","","","","","","","","","","","",""
"OTU00172","","","","","","","","","","","","","","","",""
"OTU00173","","","","","","","","","","","","","","","",""
"OTU00174","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00175","","","","","","","","","","","","","","","",""
"OTU00176","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00177","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Lobulomycetales","","","","","","","Lobulomycetales sp."
"OTU00178","","","","","","","","","","","","","","","",""
"OTU00179","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","Hypocreomycetidae","","Hypocreales","","Nectriaceae","","","","Fusarium",""
"OTU00180","","","","","","","","","","","","","","","",""
"OTU00181","","","","","","","","","","","","","","","",""
"OTU00182","","","","","","","","","","","","","","","",""
"OTU00183","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00184","Eukaryota","Fungi","Dikarya","Basidiomycota","Ustilaginomycotina","Ustilaginomycetes","","","Ustilaginales","","Ustilaginaceae","","","","Pseudozyma","Pseudozyma pruni"
"OTU00185","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00186","","","","","","","","","","","","","","","",""
"OTU00187","","","","","","","","","","","","","","","",""
"OTU00188","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis",""
"OTU00189","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00190","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis",""
"OTU00191","Eukaryota","","","","","","","","","","","","","","",""
"OTU00192","","","","","","","","","","","","","","","",""
"OTU00193","","","","","","","","","","","","","","","",""
"OTU00194","","","","","","","","","","","","","","","",""
"OTU00195","","","","","","","","","","","","","","","",""
"OTU00196","","","","","","","","","","","","","","","",""
"OTU00197","","","","","","","","","","","","","","","",""
"OTU00198","Eukaryota","","","","","","","","","","","","","","",""
"OTU00199","","","","","","","","","","","","","","","",""
"OTU00200","","","","","","","","","","","","","","","",""
"OTU00201","","","","","","","","","","","","","","","",""
"OTU00202","","","","","","","","","","","","","","","",""
"OTU00203","","","","","","","","","","","","","","","",""
"OTU00204","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00205","","","","","","","","","","","","","","","",""
"OTU00206","","","","","","","","","","","","","","","",""
"OTU00207","","","","","","","","","","","","","","","",""
"OTU00208","","","","","","","","","","","","","","","",""
"OTU00209","","","","","","","","","","","","","","","",""
