"","std_rank1","std_rank2","std_rank3","std_rank4","std_rank5"
"S001",9,3,3,2,0
"S002",689,429,144,98,34
"S003",3066,1728,216,301,2
"S004",2441,1044,471,148,195
"S005",2495,1032,360,323,42
"S006",2069,894,410,179,36
"S007",2442,1022,597,168,149
"S008",1731,966,516,191,57
"S009",2411,1035,385,299,3
"S010",2672,814,822,193,107
"S011",1809,1582,373,136,199
"S012",3191,1663,573,306,148
"S013",3740,1488,460,251,159
"S014",3937,1832,882,198,193
"S015",2355,1217,533,284,173
"S016",1758,873,316,294,14
"S017",2574,1292,364,243,293
"S018",1346,620,379,131,8
"S019",1077,991,272,123,67
"S020",1451,628,97,83,18
"S021",1453,782,334,282,40
"S022",1469,991,146,182,82
"S023",1139,436,394,102,22
"S024",672,338,133,80,45
"S025",924,577,308,70,85
"S026",728,449,80,27,12
"S027",3707,1514,379,500,119
"S028",841,482,240,163,80
"S029",1164,720,261,105,47
"S030",78,46,14,10,10
"S031",881,553,199,68,28
"S032",328,140,38,29,5
"S033",2632,948,373,461,285
"S034",1099,860,98,91,97
"S035",2300,815,438,84,0
"S036",1742,1593,568,289,125
"S037",1269,982,293,74,64
"S038",835,281,182,214,76
"S039",4059,1482,644,404,0
"S040",1414,586,337,77,60
"S041",2757,1605,789,306,146
"S042",116,73,44,68,8
"S043",1552,818,548,237,4
"S044",638,405,129,52,63
"S045",1673,788,368,215,27
"S046",1684,987,428,157,20
"S047",814,377,68,141,15
"S048",661,370,107,53,49
"S049",2908,1140,701,424,188
"S050",336,169,117,49,4
"S051",2347,1472,318,537,131
"S052",1055,828,136,88,65
"S053",1488,796,294,89,15
"S054",3997,2962,602,739,347
"S055",1780,951,294,82,87
"S056",2100,767,439,209,193
"S057",3125,1562,655,250,33
"S058",855,365,242,54,78
"S059",948,675,379,145,95
"S060",1182,794,248,149,2
"S061",1490,893,338,268,233
"S062",1979,758,379,113,66
"S063",4521,2925,1469,756,217
"S064",2142,648,593,164,34
"S065",2897,1595,627,490,477
"S066",743,379,518,118,96
"S067",2216,958,409,405,43
"S068",2683,816,743,344,20
"S069",2981,1538,401,312,337
"S070",4054,2147,488,323,206
"S071",2210,1765,533,228,223
"S072",1904,1077,669,211,292
"S073",2930,2034,669,211,178
"S074",1585,314,243,252,10
"S075",3064,2402,1077,525,308
"S076",2471,1447,568,55,34
"S077",1998,1076,400,228,28
"S078",3822,1820,562,254,161
"S079",0,0,0,0,0
"S080",4,0,2,1,1
"S081",1961,827,792,280,34
"S082",819,562,211,97,68
"S083",2190,1232,659,217,65
"S084",1638,1182,289,237,172
"S085",2180,855,300,59,100
"S086",2587,1933,795,265,141
"S087",2010,885,539,441,151
"S088",2018,891,448,143,301
"S089",1243,722,309,102,103
"S090",127,78,31,10,10
"S091",831,775,224,184,91
"S092",1027,516,242,82,39
"S093",1257,481,231,175,1
"S094",1286,728,260,110,50
"S095",1224,545,252,292,52
"S096",526,384,157,26,32
"S097",605,428,174,119,3
"S098",295,145,95,45,1
"S099",678,375,159,21,20
"S100",366,225,76,57,24
"S101",438,179,202,43,34
"S102",533,199,150,61,2
"S103",712,473,90,64,30
"S104",440,148,68,42,27
"S105",802,306,192,103,10
"S106",245,186,138,25,15
"S107",733,397,133,51,7
"S108",660,276,150,70,33
"S109",1192,763,123,182,87
"S110",909,374,91,53,8
"S111",882,430,249,30,1
"S112",448,208,119,33,7
"S113",524,214,158,25,31
"S114",282,135,76,55,16
"S115",758,775,238,53,10
"S116",299,213,126,10,35
"S117",1419,654,400,159,141
"S118",656,305,67,13,15
"S119",1012,328,182,20,45
"S120",560,339,125,77,47
"S121",742,399,179,127,50
"S122",370,211,74,31,13
"S123",428,349,125,97,41
"S124",517,216,137,102,5
"S125",684,361,115,73,24
"S126",566,356,205,74,40
"S127",453,278,173,61,20
"S128",942,429,193,62,66
"S129",670,403,144,103,33
"S130",875,376,253,35,77
"S131",799,485,275,135,3
"S132",1126,437,191,166,7
"S133",713,437,224,70,4
"S134",1359,293,353,118,12
"S135",1038,463,186,37,64
"S136",560,269,127,30,40
"S137",1592,414,660,40,5
"S138",1086,586,377,76,25
"S139",1742,922,330,102,122
"S140",1108,619,274,173,37
"S141",959,657,323,214,7
"S142",909,951,352,28,21
"S143",1530,707,420,286,87
"S144",626,334,102,76,8
"S145",791,420,158,106,89
"S146",498,244,127,66,32
"S147",909,403,241,78,33
"S148",738,522,227,54,0
"S149",840,388,205,85,49
"S150",1795,1136,403,147,259
"S151",0,0,0,0,0
"S152",2,2,0,0,0
