date,n_week,treatment,sampling_point,sample_code,grass_pic_taken,total_coverage,cyper_1,cyper_2,cyper_3,cyper_4,poa_1,poa_2,poa_3,poa_4,poa_5,portulaca_1,euphorbia_1,brassica_1,aster_1,aster_2
2017/05/19,0,NoFert,1,17_0519_NoFert_1,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,2,17_0519_NoFert_2,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,3,17_0519_NoFert_3,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,4,17_0519_NoFert_4,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,5,17_0519_NoFert_5,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,Conv,6,17_0519_Conv_6,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,Conv,7,17_0519_Conv_7,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,Conv,8,17_0519_Conv_8,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,Conv,9,17_0519_Conv_9,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,Conv,10,17_0519_Conv_10,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/19,0,NC,0,17_0519_NC_0,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,1,17_0531_NoFert_1,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,2,17_0531_NoFert_2,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,3,17_0531_NoFert_3,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,4,17_0531_NoFert_4,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,5,17_0531_NoFert_5,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,Conv,6,17_0531_Conv_6,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,Conv,7,17_0531_Conv_7,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,Conv,8,17_0531_Conv_8,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,Conv,9,17_0531_Conv_9,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,Conv,10,17_0531_Conv_10,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/05/31,1,NC,0,17_0531_NC_0,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/06/07,2,NoFert,1,17_0607_NoFert_1,Y,16,0,12,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,NA
2017/06/07,2,NoFert,2,17_0607_NoFert_2,Y,9.2,0,3.2,NA,NA,0,NA,NA,2,NA,NA,NA,NA,NA,4
2017/06/07,2,NoFert,3,17_0607_NoFert_3,Y,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2017/06/07,2,NoFert,4,17_0607_NoFert_4,Y,4,0,0,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/06/07,2,NoFert,5,17_0607_NoFert_5,Y,6.4,4,0,NA,0.4,0,NA,NA,NA,2,NA,NA,NA,NA,NA
2017/06/07,2,Conv,6,17_0607_Conv_6,Y,12,0,0,NA,NA,8,NA,NA,NA,NA,0,4,NA,NA,NA
2017/06/07,2,Conv,7,17_0607_Conv_7,Y,14,0,0,NA,NA,4,8,0,NA,NA,0,2,0,NA,NA
2017/06/07,2,Conv,8,17_0607_Conv_8,Y,7.6,0,0,0,NA,4,NA,0,NA,NA,0.8,0.8,2,NA,NA
2017/06/07,2,Conv,9,17_0607_Conv_9,Y,16,4,NA,NA,NA,8,NA,0,NA,NA,NA,NA,4,NA,NA
2017/06/07,2,Conv,10,17_0607_Conv_10,Y,12,NA,NA,0,NA,8,NA,0,NA,NA,0,4,0,NA,NA
2017/06/07,2,NC,0,17_0607_NC_0,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/06/14,3,NoFert,1,17_0614_NoFert_1,Y,40,NA,20,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,20,
2017/06/14,3,NoFert,2,17_0614_NoFert_2,Y,20,NA,4,NA,NA,0,NA,NA,4,NA,NA,NA,NA,NA,12
2017/06/14,3,NoFert,3,17_0614_NoFert_3,Y,4,NA,4,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2017/06/14,3,NoFert,4,17_0614_NoFert_4,Y,8,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/06/14,3,NoFert,5,17_0614_NoFert_5,Y,10.8,6,NA,NA,0.8,0,NA,NA,NA,4,NA,NA,NA,NA,NA
2017/06/14,3,Conv,6,17_0614_Conv_6,Y,32,NA,NA,NA,NA,24,NA,NA,NA,NA,0,8,NA,NA,NA
2017/06/14,3,Conv,7,17_0614_Conv_7,Y,28.8,NA,NA,NA,NA,10,16,0,NA,NA,0.4,2,0.4,NA,NA
2017/06/14,3,Conv,8,17_0614_Conv_8,Y,25.2,NA,NA,0,NA,18,NA,0,NA,NA,2,2,3.2,NA,NA
2017/06/14,3,Conv,9,17_0614_Conv_9,Y,22,4,NA,NA,NA,16,NA,0,NA,NA,NA,NA,2,NA,NA
2017/06/14,3,Conv,10,17_0614_Conv_10,Y,22,NA,NA,0,NA,18,NA,0,NA,NA,0,4,0,NA,NA
2017/06/14,3,NC,0,17_0614_NC_0,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/06/21,4,NoFert,1,17_0621_NoFert_1,Y,60,NA,24,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,36,NA
2017/06/21,4,NoFert,2,17_0621_NoFert_2,Y,30,NA,8,NA,NA,0,NA,NA,6,NA,NA,NA,NA,NA,16
2017/06/21,4,NoFert,3,17_0621_NoFert_3,Y,12,NA,8,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
2017/06/21,4,NoFert,4,17_0621_NoFert_4,Y,8.8,NA,NA,NA,8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/06/21,4,NoFert,5,17_0621_NoFert_5,Y,16.8,8,NA,NA,2,0.8,NA,NA,NA,6,NA,NA,NA,NA,NA
2017/06/21,4,Conv,6,17_0621_Conv_6,Y,76,NA,NA,NA,NA,60,NA,NA,NA,NA,0,16,NA,NA,NA
2017/06/21,4,Conv,7,17_0621_Conv_7,Y,48.8,NA,NA,NA,NA,24,20,0,NA,NA,0.4,4,0.4,NA,NA
2017/06/21,4,Conv,8,17_0621_Conv_8,Y,52,NA,NA,2,NA,36,NA,0,NA,NA,6,4,4,NA,NA
2017/06/21,4,Conv,9,17_0621_Conv_9,Y,38,6,NA,NA,NA,28,NA,0,NA,NA,NA,NA,4,NA,NA
2017/06/21,4,Conv,10,17_0621_Conv_10,Y,40,NA,NA,2,NA,32,NA,0,NA,NA,0,6,0,NA,NA
2017/06/21,4,NC,0,17_0621_NC_0,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/06/28,5,NoFert,1,17_0628_NoFert_1,Y,72.8,NA,28,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,44,NA
2017/06/28,5,NoFert,2,17_0628_NoFert_2,Y,44.8,NA,16,NA,NA,0.8,NA,NA,8,NA,NA,NA,NA,NA,20
2017/06/28,5,NoFert,3,17_0628_NoFert_3,Y,28,NA,16,NA,4,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
2017/06/28,5,NoFert,4,17_0628_NoFert_4,Y,22,NA,NA,NA,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/06/28,5,NoFert,5,17_0628_NoFert_5,Y,32,16,NA,NA,6,2,NA,NA,NA,8,NA,NA,NA,NA,NA
2017/06/28,5,Conv,6,17_0628_Conv_6,Y,102,NA,NA,NA,NA,88,NA,NA,NA,NA,2,12,NA,NA,NA
2017/06/28,5,Conv,7,17_0628_Conv_7,Y,86.8,NA,NA,NA,NA,48,28,0,NA,NA,2,8,0.8,NA,NA
2017/06/28,5,Conv,8,17_0628_Conv_8,Y,88,NA,NA,14,NA,52,NA,0,NA,NA,8,8,6,NA,NA
2017/06/28,5,Conv,9,17_0628_Conv_9,Y,54,6,NA,NA,NA,40,NA,0,NA,NA,NA,NA,8,NA,NA
2017/06/28,5,Conv,10,17_0628_Conv_10,Y,58,NA,NA,11.2,NA,36,NA,0,NA,NA,0,10,0.8,NA,NA
2017/06/28,5,NC,0,17_0628_NC_0,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/07/05,6,NoFert,1,17_0705_NoFert_1,Y,82,NA,36,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,44,NA
2017/07/05,6,NoFert,2,17_0705_NoFert_2,Y,52,NA,20,NA,NA,4,NA,NA,12,NA,NA,NA,NA,NA,16
2017/07/05,6,NoFert,3,17_0705_NoFert_3,Y,44,NA,20,NA,8,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
2017/07/05,6,NoFert,4,17_0705_NoFert_4,Y,36,NA,NA,NA,20,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017/07/05,6,NoFert,5,17_0705_NoFert_5,Y,50,16,NA,NA,16,8,NA,NA,NA,10,NA,NA,NA,NA,NA
2017/07/05,6,Conv,6,17_0705_Conv_6,Y,16,NA,NA,NA,NA,8,NA,NA,NA,NA,0,8,,NA,NA
2017/07/05,6,Conv,7,17_0705_Conv_7,Y,8,NA,NA,NA,NA,0,8,0,NA,NA,0,0,0,NA,NA
2017/07/05,6,Conv,8,17_0705_Conv_8,Y,4.8,NA,NA,0,NA,0,NA,0,NA,NA,0.8,0,4,NA,NA
2017/07/05,6,Conv,9,17_0705_Conv_9,Y,6,6,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA
