"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","cause_var","effect_var","cond_var","fdr"
5,4,1,-2,6,5,90,90,0.610303120976308,1.66533453693773e-16,1.61676227961038e-16,0.023,2000,"mean_height_diff","clim_mean_temp",NA,0.138
5,4,1,-1,6,5,90,90,0.59350720378177,0,0,1,2000,"mean_height_diff","clim_mean_temp",NA,1
5,4,1,0,6,5,90,90,0.555755486110851,0,0,1,2000,"mean_height_diff","clim_mean_temp",NA,1
5,4,1,-2,6,5,90,90,0.610303120976308,-1.66533453693773e-16,0,1,2000,"mean_height_diff","clim_max_temp",NA,1
5,4,1,-1,6,5,90,90,0.59350720378177,2.22044604925031e-16,2.15036322082085e-16,0.0205,2000,"mean_height_diff","clim_max_temp",NA,0.138
5,4,1,0,6,5,90,90,0.555755486110851,0,0,1,2000,"mean_height_diff","clim_max_temp",NA,1
4,3,1,-2,5,4,100,100,0.601331970697311,2.22044604925031e-16,2.16743289982446e-16,0.0115,2000,"mean_height_diff","clim_min_temp",NA,0.138
4,3,1,-1,5,4,100,100,0.601080472580624,0,0,1,2000,"mean_height_diff","clim_min_temp",NA,1
4,3,1,0,5,4,100,100,0.583387611366255,0,0,1,2000,"mean_height_diff","clim_min_temp",NA,1
5,4,1,-2,6,5,90,90,0.610303120976308,0,0,1,2000,"mean_height_diff","clim_daily_rainfall",NA,1
5,4,1,-1,6,5,90,90,0.59350720378177,0,0,1,2000,"mean_height_diff","clim_daily_rainfall",NA,1
5,4,1,0,6,5,90,90,0.555755486110851,0,0,1,2000,"mean_height_diff","clim_daily_rainfall",NA,1
5,4,1,-2,6,5,90,90,0.610303120976308,1.66533453693773e-16,1.6185663920254e-16,0.022,2000,"mean_height_diff","clim_sunlight_hours",NA,0.138
5,4,1,-1,6,5,90,90,0.59350720378177,0,0,1,2000,"mean_height_diff","clim_sunlight_hours",NA,1
5,4,1,0,6,5,90,90,0.555755486110851,0,0,1,2000,"mean_height_diff","clim_sunlight_hours",NA,1
5,4,1,-2,6,5,90,90,0.610303120976308,0,0,1,2000,"mean_height_diff","clim_cum_7days_temp",NA,1
5,4,1,-1,6,5,90,90,0.59350720378177,0,0,1,2000,"mean_height_diff","clim_cum_7days_temp",NA,1
5,4,1,0,6,5,90,90,0.555755486110851,0,0,1,2000,"mean_height_diff","clim_cum_7days_temp",NA,1
5,4,1,-2,6,5,90,90,0.610303120976308,0,0,1,2000,"mean_height_diff","clim_cum_7days_rainfall",NA,1
5,4,1,-1,6,5,90,90,0.59350720378177,0,0,1,2000,"mean_height_diff","clim_cum_7days_rainfall",NA,1
5,4,1,0,6,5,90,90,0.555755486110851,-2.22044604925031e-16,0,1,2000,"mean_height_diff","clim_cum_7days_rainfall",NA,1
5,4,1,-2,6,5,90,90,0.610303120976308,0,0,1,2000,"mean_height_diff","clim_cum_7days_sunlihg_hours",NA,1
5,4,1,-1,6,5,90,90,0.59350720378177,0,0,1,2000,"mean_height_diff","clim_cum_7days_sunlihg_hours",NA,1
5,4,1,0,6,5,90,90,0.555755486110851,0,0,1,2000,"mean_height_diff","clim_cum_7days_sunlihg_hours",NA,1
