"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
5,4,1,-2,6,5,90,90,0.118304180124315,0.202834819142615,0.201613174164578,0.001,2000,"mean_height_diff","clim_mean_temp",NA,0.00218181818181818
5,4,1,-1,6,5,90,90,0.110532562464549,0.127086286104551,0.124654915115105,0.0035,2000,"mean_height_diff","clim_mean_temp",NA,0.0056
5,4,1,0,6,5,90,90,0.166011889449084,-0.197877464626211,0,1,2000,"mean_height_diff","clim_mean_temp",NA,1
5,4,1,-2,6,5,90,90,0.127895432686203,0.241838741859655,0.240942118960879,0,2000,"mean_height_diff","clim_max_temp",NA,0
5,4,1,-1,6,5,90,90,0.0953518900015643,0.220601851322275,0.219356552610306,5e-04,2000,"mean_height_diff","clim_max_temp",NA,0.0012
5,4,1,0,6,5,90,90,0.193087707217755,-0.265170548004389,0,1,2000,"mean_height_diff","clim_max_temp",NA,1
5,4,1,-2,6,5,90,90,0.101481201283652,0.314983579482166,0.311298898458359,0,2000,"mean_height_diff","clim_min_temp",NA,0
5,4,1,-1,6,5,90,90,0.0945102778398883,0.150196651764607,0.146569650717046,0.0045,2000,"mean_height_diff","clim_min_temp",NA,0.00675
5,4,1,0,6,5,90,90,0.100432806743113,0.0074107837902937,0.00701329235025805,0.014,2000,"mean_height_diff","clim_min_temp",NA,0.0197647058823529
5,4,1,-2,6,5,90,90,0.123503067937171,0.864337924414985,0.853214024555933,0,2000,"mean_height_diff","clim_daily_rainfall",NA,0
5,4,1,-1,6,5,90,90,0.0431001365387465,0.22860038792914,0.226999467002292,0,2000,"mean_height_diff","clim_daily_rainfall",NA,0
5,4,1,0,6,5,90,90,0.0316345004405204,0.75341990707211,0.746016586800384,0,2000,"mean_height_diff","clim_daily_rainfall",NA,0
5,4,1,-2,6,5,90,90,0.375061564884665,-0.222426589655913,0,1,2000,"mean_height_diff","clim_sunlight_hours",NA,1
5,4,1,-1,6,5,90,90,0.290109865354023,0.0351743684305921,0.0347829659757033,0.002,2000,"mean_height_diff","clim_sunlight_hours",NA,0.00369230769230769
5,4,1,0,6,5,90,90,0.325547306967549,-0.22394994083834,0,1,2000,"mean_height_diff","clim_sunlight_hours",NA,1
5,4,1,-2,6,5,90,90,0.099818976694004,0.110167536094257,0.108903695192374,0.0035,2000,"mean_height_diff","clim_cum_7days_temp",NA,0.0056
5,4,1,-1,6,5,90,90,0.0873918656771524,0.30501629924711,0.29954285859873,0,2000,"mean_height_diff","clim_cum_7days_temp",NA,0
5,4,1,0,6,5,90,90,0.0772887532714193,0.167997908002495,0.165840144142214,0,2000,"mean_height_diff","clim_cum_7days_temp",NA,0
5,4,1,-2,6,5,90,90,0.322581065560986,0.0168045876771552,0.0167328635182174,0.0015,2000,"mean_height_diff","clim_cum_7days_rainfall",NA,0.003
5,4,1,-1,6,5,90,90,0.293731682312635,0.00637686938397941,0.00586024314449879,0.0175,2000,"mean_height_diff","clim_cum_7days_rainfall",NA,0.0233333333333333
5,4,1,0,6,5,90,90,0.352668458065862,0.0321611348870336,0.0276190031614334,0.0535,2000,"mean_height_diff","clim_cum_7days_rainfall",NA,0.067578947368421
5,4,1,-2,6,5,90,90,0.186249803360159,0.320359974254213,0.317212753408034,0,2000,"mean_height_diff","clim_cum_7days_sunlihg_hours",NA,0
5,4,1,-1,6,5,90,90,0.251221181772405,-0.180906743533529,0,1,2000,"mean_height_diff","clim_cum_7days_sunlihg_hours",NA,1
5,4,1,0,6,5,90,90,0.2260706677669,0.201777566869274,0.19955336342774,0,2000,"mean_height_diff","clim_cum_7days_sunlihg_hours",NA,0
