"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","cause_var","effect_var","cond_var","fdr"
5,4,1,-2,6,5,90,90,0.728546981089236,0,0,1,2000,"mean_n_stem_diff","clim_mean_temp",NA,1
5,4,1,-1,6,5,90,90,0.679380336726531,0,0,1,2000,"mean_n_stem_diff","clim_mean_temp",NA,1
5,4,1,0,6,5,90,90,0.621749042656726,2.22044604925031e-16,2.15868989350554e-16,0.012,2000,"mean_n_stem_diff","clim_mean_temp",NA,0.258
5,4,1,-2,6,5,90,90,0.728546981089236,0,0,1,2000,"mean_n_stem_diff","clim_max_temp",NA,1
5,4,1,-1,6,5,90,90,0.679380336726531,0,0,1,2000,"mean_n_stem_diff","clim_max_temp",NA,1
5,4,1,0,6,5,90,90,0.621749042656726,0,0,1,2000,"mean_n_stem_diff","clim_max_temp",NA,1
5,4,1,-2,6,5,90,90,0.728546981089236,0,0,1,2000,"mean_n_stem_diff","clim_min_temp",NA,1
5,4,1,-1,6,5,90,90,0.679380336726531,0,0,1,2000,"mean_n_stem_diff","clim_min_temp",NA,1
5,4,1,0,6,5,90,90,0.621749042656726,0,0,1,2000,"mean_n_stem_diff","clim_min_temp",NA,1
5,4,1,-2,6,5,90,90,0.728546981089236,0,0,1,2000,"mean_n_stem_diff","clim_daily_rainfall",NA,1
5,4,1,-1,6,5,90,90,0.679380336726531,0,0,1,2000,"mean_n_stem_diff","clim_daily_rainfall",NA,1
5,4,1,0,6,5,90,90,0.621749042656726,0,0,1,2000,"mean_n_stem_diff","clim_daily_rainfall",NA,1
5,4,1,-2,6,5,90,90,0.728546981089236,0,0,1,2000,"mean_n_stem_diff","clim_sunlight_hours",NA,1
5,4,1,-1,6,5,90,90,0.679380336726531,0,0,1,2000,"mean_n_stem_diff","clim_sunlight_hours",NA,1
5,4,1,0,6,5,90,90,0.621749042656726,-2.22044604925031e-16,0,1,2000,"mean_n_stem_diff","clim_sunlight_hours",NA,1
5,4,1,-2,6,5,90,90,0.728546981089236,0,0,1,2000,"mean_n_stem_diff","clim_cum_7days_temp",NA,1
5,4,1,-1,6,5,90,90,0.679380336726531,0,0,1,2000,"mean_n_stem_diff","clim_cum_7days_temp",NA,1
5,4,1,0,6,5,90,90,0.621749042656726,0,0,1,2000,"mean_n_stem_diff","clim_cum_7days_temp",NA,1
5,4,1,-2,6,5,90,90,0.728546981089236,0,0,1,2000,"mean_n_stem_diff","clim_cum_7days_rainfall",NA,1
5,4,1,-1,6,5,90,90,0.679380336726531,0,0,1,2000,"mean_n_stem_diff","clim_cum_7days_rainfall",NA,1
5,4,1,0,6,5,90,90,0.621749042656726,2.22044604925031e-16,2.09554595897998e-16,0.0215,2000,"mean_n_stem_diff","clim_cum_7days_rainfall",NA,0.258
5,4,1,-2,6,5,90,90,0.728546981089236,0,0,1,2000,"mean_n_stem_diff","clim_cum_7days_sunlihg_hours",NA,1
5,4,1,-1,6,5,90,90,0.679380336726531,0,0,1,2000,"mean_n_stem_diff","clim_cum_7days_sunlihg_hours",NA,1
5,4,1,0,6,5,90,90,0.621749042656726,0,0,1,2000,"mean_n_stem_diff","clim_cum_7days_sunlihg_hours",NA,1
