"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
1,0,1,-2,2,1,110,110,0.526761507838712,0.676115776324803,0.65587713990008,0,2000,"mean_n_stem_diff","clim_mean_temp",NA,0
1,0,1,-1,2,1,120,120,0.737390589321045,0.342464310581646,0.324169544697637,0,2000,"mean_n_stem_diff","clim_mean_temp",NA,0
1,0,1,0,2,1,120,120,0.597443126651186,0.342928289684094,0.324370576855348,0,2000,"mean_n_stem_diff","clim_mean_temp",NA,0
2,1,1,-2,3,2,110,110,0.622859635345933,0.311338820408703,0.301423571016609,0,2000,"mean_n_stem_diff","clim_max_temp",NA,0
2,1,1,-1,3,2,110,110,0.465965930378151,0.0762930465046122,0.0762911456415124,0,2000,"mean_n_stem_diff","clim_max_temp",NA,0
2,1,1,0,3,2,110,110,0.470244034961596,0.310580335397049,0.308736776607851,0,2000,"mean_n_stem_diff","clim_max_temp",NA,0
1,0,1,-2,2,1,110,110,0.564252342188418,0.607419042413037,0.588810361360866,0,2000,"mean_n_stem_diff","clim_min_temp",NA,0
1,0,1,-1,2,1,120,120,0.688998198573817,0.408368784430683,0.390341926949662,0,2000,"mean_n_stem_diff","clim_min_temp",NA,0
1,0,1,0,2,1,120,120,0.733201660847878,0.258538794950153,0.240093311757831,0,2000,"mean_n_stem_diff","clim_min_temp",NA,0
4,3,1,-2,5,4,90,90,0.393552857531124,-0.152265643635894,0,1,2000,"mean_n_stem_diff","clim_daily_rainfall",NA,1
4,3,1,-1,5,4,90,90,0.169084911438556,-0.0508918528414157,0,1,2000,"mean_n_stem_diff","clim_daily_rainfall",NA,1
4,3,1,0,5,4,90,90,0.104365685387233,-0.0474034565528267,0,1,2000,"mean_n_stem_diff","clim_daily_rainfall",NA,1
1,0,1,-2,2,1,110,110,1.03287795914515,0.0496911729085941,0.0308659832993389,0.1395,2000,"mean_n_stem_diff","clim_sunlight_hours",NA,0.20925
1,0,1,-1,2,1,120,120,1.00936277436137,0.0310201255905016,0.0119695903780448,0.2595,2000,"mean_n_stem_diff","clim_sunlight_hours",NA,0.346
1,0,1,0,2,1,120,120,0.854573155632587,0.149776094392525,0.13228406680265,0.001,2000,"mean_n_stem_diff","clim_sunlight_hours",NA,0.00218181818181818
4,3,1,-2,5,4,90,90,0.257717474185464,0.0278662242430803,0.026437226255944,0.02,2000,"mean_n_stem_diff","clim_cum_7days_temp",NA,0.0369230769230769
4,3,1,-1,5,4,90,90,0.211821635039634,-0.023327644493446,0,1,2000,"mean_n_stem_diff","clim_cum_7days_temp",NA,1
4,3,1,0,5,4,90,90,0.168049203031868,-0.00174775251513504,0,1,2000,"mean_n_stem_diff","clim_cum_7days_temp",NA,1
1,0,1,-2,2,1,110,110,1.04418373756949,-0.0189574267305747,0,1,2000,"mean_n_stem_diff","clim_cum_7days_rainfall",NA,1
1,0,1,-1,2,1,120,120,0.956799624467329,0.0496882941545779,0.0306774628886457,0.1495,2000,"mean_n_stem_diff","clim_cum_7days_rainfall",NA,0.211058823529412
1,0,1,0,2,1,120,120,0.988178435065951,0.051409075879293,0.0331757525319431,0.131,2000,"mean_n_stem_diff","clim_cum_7days_rainfall",NA,0.20925
2,1,1,-2,3,2,110,110,0.858579003436371,0.113752001781612,0.107701070113611,0.009,2000,"mean_n_stem_diff","clim_cum_7days_sunlihg_hours",NA,0.018
2,1,1,-1,3,2,110,110,0.717490443251954,0.209634128724035,0.198585520265335,0,2000,"mean_n_stem_diff","clim_cum_7days_sunlihg_hours",NA,0
2,1,1,0,3,2,110,110,0.699467313411518,0.0694278877184308,0.0529694815635326,0.089,2000,"mean_n_stem_diff","clim_cum_7days_sunlihg_hours",NA,0.152571428571429
