"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","cause_var","effect_var","cond_var","fdr"
5,4,1,-2,6,5,90,90,0.325172986979578,0,0,1,2000,"mean_spad_diff","clim_mean_temp",NA,1
5,4,1,-1,6,5,90,90,0.293518311826831,0,0,1,2000,"mean_spad_diff","clim_mean_temp",NA,1
5,4,1,0,6,5,90,90,0.284313746421672,0,0,1,2000,"mean_spad_diff","clim_mean_temp",NA,1
4,3,1,-2,5,4,100,100,0.346236792259836,0,0,1,2000,"mean_spad_diff","clim_max_temp",NA,1
4,3,1,-1,5,4,100,100,0.316533572878152,0,0,1,2000,"mean_spad_diff","clim_max_temp",NA,1
4,3,1,0,5,4,100,100,0.284735873182862,0,0,1,2000,"mean_spad_diff","clim_max_temp",NA,1
5,4,1,-2,6,5,90,90,0.325172986979578,0,0,1,2000,"mean_spad_diff","clim_min_temp",NA,1
5,4,1,-1,6,5,90,90,0.293518311826831,0,0,1,2000,"mean_spad_diff","clim_min_temp",NA,1
5,4,1,0,6,5,90,90,0.284313746421672,0,0,1,2000,"mean_spad_diff","clim_min_temp",NA,1
4,3,1,-2,5,4,100,100,0.347104090371938,2.22044604925031e-16,2.19380069665931e-16,0.0105,2000,"mean_spad_diff","clim_daily_rainfall",NA,0.252
4,3,1,-1,5,4,100,100,0.324389831145962,0,0,1,2000,"mean_spad_diff","clim_daily_rainfall",NA,1
4,3,1,0,5,4,100,100,0.303766284306136,0,0,1,2000,"mean_spad_diff","clim_daily_rainfall",NA,1
5,4,1,-2,6,5,90,90,0.325172986979578,0,0,1,2000,"mean_spad_diff","clim_sunlight_hours",NA,1
5,4,1,-1,6,5,90,90,0.293518311826831,-2.22044604925031e-16,0,1,2000,"mean_spad_diff","clim_sunlight_hours",NA,1
5,4,1,0,6,5,90,90,0.284313746421672,-2.22044604925031e-16,0,1,2000,"mean_spad_diff","clim_sunlight_hours",NA,1
5,4,1,-2,6,5,90,90,0.325172986979578,0,0,1,2000,"mean_spad_diff","clim_cum_7days_temp",NA,1
5,4,1,-1,6,5,90,90,0.293518311826831,0,0,1,2000,"mean_spad_diff","clim_cum_7days_temp",NA,1
5,4,1,0,6,5,90,90,0.284313746421672,0,0,1,2000,"mean_spad_diff","clim_cum_7days_temp",NA,1
5,4,1,-2,6,5,90,90,0.325172986979578,0,0,1,2000,"mean_spad_diff","clim_cum_7days_rainfall",NA,1
5,4,1,-1,6,5,90,90,0.293518311826831,0,0,1,2000,"mean_spad_diff","clim_cum_7days_rainfall",NA,1
5,4,1,0,6,5,90,90,0.284313746421672,0,0,1,2000,"mean_spad_diff","clim_cum_7days_rainfall",NA,1
4,3,1,-2,5,4,100,100,0.346236792259836,-4.44089209850063e-16,0,1,2000,"mean_spad_diff","clim_cum_7days_sunlihg_hours",NA,1
4,3,1,-1,5,4,100,100,0.316533572878152,0,0,1,2000,"mean_spad_diff","clim_cum_7days_sunlihg_hours",NA,1
4,3,1,0,5,4,100,100,0.284735873182863,0,0,1,2000,"mean_spad_diff","clim_cum_7days_sunlihg_hours",NA,1
