"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
1,0,1,-2,2,1,110,110,0.769883383072734,0.296624622817302,0.272140571330948,0,2000,"mean_spad_diff","clim_mean_temp",NA,0
1,0,1,-1,2,1,120,120,0.596534086271625,0.55444565063035,0.531366179028188,0,2000,"mean_spad_diff","clim_mean_temp",NA,0
1,0,1,0,2,1,130,130,0.630594426381183,0.461092370506521,0.43985923721346,0,2000,"mean_spad_diff","clim_mean_temp",NA,0
1,0,1,-2,2,1,110,110,0.749582964186268,0.337950597311788,0.312647072619713,0,2000,"mean_spad_diff","clim_max_temp",NA,0
1,0,1,-1,2,1,120,120,0.676021830387806,0.431853761641506,0.409138086496217,0,2000,"mean_spad_diff","clim_max_temp",NA,0
1,0,1,0,2,1,130,130,0.703671303153442,0.351443930785109,0.330942358339119,0,2000,"mean_spad_diff","clim_max_temp",NA,0
5,4,1,-2,6,5,90,90,0.109283622700603,-0.0191995942842742,0,1,2000,"mean_spad_diff","clim_min_temp",NA,1
5,4,1,-1,6,5,90,90,0.105206015258685,0.218030075189583,0.19665349232281,5e-04,2000,"mean_spad_diff","clim_min_temp",NA,0.0012
5,4,1,0,6,5,90,90,0.13888629614823,-0.0489057339237531,0,1,2000,"mean_spad_diff","clim_min_temp",NA,1
5,4,1,-2,6,5,90,90,0.114737586216692,-0.201735860531971,0,1,2000,"mean_spad_diff","clim_daily_rainfall",NA,1
5,4,1,-1,6,5,90,90,0.0490394444671858,-0.0343899584963943,0,1,2000,"mean_spad_diff","clim_daily_rainfall",NA,1
5,4,1,0,6,5,90,90,0.0234724848563273,-0.332959424558914,0,1,2000,"mean_spad_diff","clim_daily_rainfall",NA,1
5,4,1,-2,6,5,90,90,0.404889863578284,0.162881228998841,0.140830048995165,0.005,2000,"mean_spad_diff","clim_sunlight_hours",NA,0.00857142857142857
5,4,1,-1,6,5,90,90,0.415811264182117,0.0700524427767519,0.065638642854319,0.0055,2000,"mean_spad_diff","clim_sunlight_hours",NA,0.0088
5,4,1,0,6,5,90,90,0.471891158803247,-0.0603355565568642,0,1,2000,"mean_spad_diff","clim_sunlight_hours",NA,1
1,0,1,-2,2,1,110,110,0.609978138573018,0.507563355353749,0.483722066354311,0,2000,"mean_spad_diff","clim_cum_7days_temp",NA,0
1,0,1,-1,2,1,120,120,0.511702643386613,0.682866115405658,0.659369000378329,0,2000,"mean_spad_diff","clim_cum_7days_temp",NA,0
1,0,1,0,2,1,130,130,0.641288310421569,0.444276140934244,0.422945747341692,0,2000,"mean_spad_diff","clim_cum_7days_temp",NA,0
1,0,1,-2,2,1,110,110,0.95696121115185,0.0682704611476503,0.0437903811828479,0.131,2000,"mean_spad_diff","clim_cum_7days_rainfall",NA,0.184941176470588
1,0,1,-1,2,1,120,120,0.83638125836605,0.184197725060418,0.161885976005344,0.0015,2000,"mean_spad_diff","clim_cum_7days_rainfall",NA,0.003
1,0,1,0,2,1,130,130,0.946372528009136,0.0551189946248055,0.0334376196630271,0.1485,2000,"mean_spad_diff","clim_cum_7days_rainfall",NA,0.198
5,4,1,-2,6,5,90,90,0.247919451323331,0.0619267633301059,0.0548368386190383,0.024,2000,"mean_spad_diff","clim_cum_7days_sunlihg_hours",NA,0.036
5,4,1,-1,6,5,90,90,0.277008766776761,0.212696241764754,0.190173655970734,0.001,2000,"mean_spad_diff","clim_cum_7days_sunlihg_hours",NA,0.00218181818181818
5,4,1,0,6,5,90,90,0.318654590647443,0.067544126690773,0.0648019894736926,0.005,2000,"mean_spad_diff","clim_cum_7days_sunlihg_hours",NA,0.00857142857142857
