"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
5,4,1,-2,8,7,90,90,0.357527318225841,-0.0474668901457753,0,1,2000,"mean_height_diff","psmb_Z_3_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,85,85,0.3655420600621,-0.00736158661413389,0,1,2000,"mean_height_diff","psmb_Z_3_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,0,8,7,85,85,0.352632773476734,-0.000542909437478922,0,1,2000,"mean_height_diff","psmb_Z_3_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-2,8,7,90,90,0.823217325329222,-0.0255368408397506,0,1,2000,"mean_height_diff","psmb_E_2_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,90,90,0.817835869609139,0.0279068191285989,0.0203778289396281,0.1005,2000,"mean_height_diff","psmb_E_2_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.884375
5,4,1,0,8,7,90,90,0.829680561009149,0.00493991689773049,0,0.299,2000,"mean_height_diff","psmb_E_2_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-2,8,7,90,90,0.984259135866827,0.0345865009446696,0.0214553749395635,0.1235,2000,"mean_height_diff","psmb_Z_3_Hexen_1_ol","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.884375
5,4,1,-1,8,7,90,90,0.828802520225839,0.00118433268781207,0,0.5105,2000,"mean_height_diff","psmb_Z_3_Hexen_1_ol","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,0,8,7,90,90,0.849678239959327,-0.00622341855629063,0,1,2000,"mean_height_diff","psmb_Z_3_Hexen_1_ol","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-2,8,7,90,90,0.57508197179954,-0.00153658298856763,0,1,2000,"mean_height_diff","psmb_X2_4_Heptadienal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
