"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
1,0,1,-2,4,3,105,105,0.561230910527045,0.0960026465816141,0.0750172855173677,0.0525,2000,"psmb_Z_3_Hexenal","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.4375
1,0,1,-1,4,3,114,114,0.60638389397595,0.0136953876629079,0.000575681226564258,0.2435,2000,"psmb_Z_3_Hexenal","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.810326086956522
1,0,1,0,4,3,123,123,0.520340933928914,0.148338138088027,0.131851457695254,0.0035,2000,"psmb_Z_3_Hexenal","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.0875
1,0,1,-2,4,3,110,110,0.617395223923447,-0.00735789696445005,0,1,2000,"psmb_E_2_Hexenal","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,119,119,0.639230568819828,-0.0513298203012755,0,1,2000,"psmb_E_2_Hexenal","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,128,128,0.633124341470272,-0.0519443257858741,0,1,2000,"psmb_E_2_Hexenal","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,110,110,0.627390319110828,-0.0234173861827126,0,1,2000,"psmb_Z_3_Hexen_1_ol","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,119,119,0.648992144263636,-0.0664852156927603,0,1,2000,"psmb_Z_3_Hexen_1_ol","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,128,128,0.657959395433699,-0.0904207112633014,0,1,2000,"psmb_Z_3_Hexen_1_ol","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,110,110,0.630477074153823,-0.0283253140860896,0,1,2000,"psmb_X2_4_Heptadienal","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,119,119,0.666696326130927,-0.0933992625130371,0,1,2000,"psmb_X2_4_Heptadienal","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,128,128,0.575556340261117,0.0433853877861841,0.0381178278470962,0.046,2000,"psmb_X2_4_Heptadienal","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.4375
1,0,1,-2,4,3,107,107,0.574464477898971,0.0584761201297052,0.0340220936752187,0.168,2000,"psmb_linalool","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.70625
1,0,1,-1,4,3,116,116,0.562396773692035,0.0718855126685263,0.0482147263023653,0.1175,2000,"psmb_linalool","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.59765625
1,0,1,0,4,3,125,125,0.620850060204956,-0.0246961650702595,0,1,2000,"psmb_linalool","mean_height_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
