"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
1,0,1,-2,4,3,110,110,0.778987314887603,0.0262597464063627,0,0.3505,2000,"mean_n_stem_diff","psmb_Z_3_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.847983870967742
1,0,1,-1,4,3,114,114,0.566513315459979,-0.0204094191088962,0,1,2000,"mean_n_stem_diff","psmb_Z_3_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,114,114,0.491089551679827,-0.0391797302008511,0,1,2000,"mean_n_stem_diff","psmb_Z_3_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,110,110,0.882094521400876,-0.0378812886046974,0,1,2000,"mean_n_stem_diff","psmb_E_2_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,119,119,0.931744162997857,-0.102775420519085,0,1,2000,"mean_n_stem_diff","psmb_E_2_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,119,119,0.83363078477212,-0.0122879788588339,0,1,2000,"mean_n_stem_diff","psmb_E_2_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,110,110,0.950443424615949,0.0502351053659671,0.0210784098645758,0.2275,2000,"mean_n_stem_diff","psmb_Z_3_Hexen_1_ol","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.642857142857143
1,0,1,-1,4,3,119,119,0.892922222511577,0.0747648948420883,0.04594396251684,0.1415,2000,"mean_n_stem_diff","psmb_Z_3_Hexen_1_ol","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.530625
1,0,1,0,4,3,119,119,0.875503636082588,0.128858756153989,0.0989620325842812,0.0635,2000,"mean_n_stem_diff","psmb_Z_3_Hexen_1_ol","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.453409090909091
1,0,1,-2,4,3,110,110,0.587935278794445,-0.0612563175261412,0,1,2000,"mean_n_stem_diff","psmb_X2_4_Heptadienal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,119,119,0.612033706006706,-0.0311703960884118,0,1,2000,"mean_n_stem_diff","psmb_X2_4_Heptadienal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,119,119,0.588201813068598,0.0311213896958022,0.0138347648215267,0.2055,2000,"mean_n_stem_diff","psmb_X2_4_Heptadienal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.6421875
