"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
1,0,1,-2,4,3,95,95,0.698290121404753,-0.0244612103453006,0,1,2000,"psmb_Z_3_Hexenal","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,105,105,0.706497471515844,-0.0393460355727036,0,1,2000,"psmb_Z_3_Hexenal","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,114,114,0.612731963136887,0.0605595013302315,0.035908181822337,0.1595,2000,"psmb_Z_3_Hexenal","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.851612903225806
1,0,1,-2,4,3,100,100,0.715952380506322,-0.0334502791240241,0,1,2000,"psmb_E_2_Hexenal","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,110,110,0.607583987810785,0.091359607844747,0.0760946032590831,0.0425,2000,"psmb_E_2_Hexenal","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.6375
1,0,1,0,4,3,119,119,0.6694631511477,-0.0418523478924005,0,1,2000,"psmb_E_2_Hexenal","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,100,100,0.76331302466964,-0.0975048243378167,0,1,2000,"psmb_Z_3_Hexen_1_ol","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,110,110,0.722896359970864,-0.0824158396347083,0,1,2000,"psmb_Z_3_Hexen_1_ol","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,119,119,0.631672627304618,0.0162525111928961,0.00346337025758408,0.2195,2000,"psmb_Z_3_Hexen_1_ol","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.851612903225806
1,0,1,-2,4,3,100,100,0.708371188089367,-0.0228048553187987,0,1,2000,"psmb_X2_4_Heptadienal","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,110,110,0.657390275611648,0.0125721561172842,0,0.3285,2000,"psmb_X2_4_Heptadienal","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.851612903225806
1,0,1,0,4,3,119,119,0.623752123007632,0.028870725683555,0.0103588939353372,0.246,2000,"psmb_X2_4_Heptadienal","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.851612903225806
1,0,1,-2,4,3,98,98,0.564004358956198,0.166174419604607,0.137949749254768,0.02,2000,"psmb_linalool","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.375
1,0,1,-1,4,3,107,107,0.622580872229079,0.0486380320776333,0.0248162870778646,0.193,2000,"psmb_linalool","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.851612903225806
1,0,1,0,4,3,116,116,0.632318631053388,-0.000255281484228154,0,1,2000,"psmb_linalool","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,100,100,0.702301303227915,-0.0141991408681051,0,1,2000,"psmb_b_caryophyllene","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,110,110,0.703737480251039,-0.0555553641998717,0,1,2000,"psmb_b_caryophyllene","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,119,119,0.642488450151606,-0.00072506382712284,0,1,2000,"psmb_b_caryophyllene","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,-2,6,5,100,100,0.778169416393587,-0.126710479905203,0,1,2000,"psmb_MeSA","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,-1,6,5,110,110,0.687781087200545,-0.0695932908995936,0,1,2000,"psmb_MeSA","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,0,6,5,110,110,0.608451026599685,0.0605099143115257,0.0507041068592781,0.0525,2000,"psmb_MeSA","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.6375
3,2,1,-2,6,5,100,100,0.709678234586927,0.0058609137582365,0,0.5235,2000,"psmb_diterpenoids","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,-1,6,5,110,110,0.676083933901468,0.0145832962166938,0,0.314,2000,"psmb_diterpenoids","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.851612903225806
3,2,1,0,6,5,110,110,0.71646646602406,0.0146216942371543,0,0.379,2000,"psmb_diterpenoids","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.88828125
2,1,1,-2,5,4,20,20,0.886762572271437,-0.0364172231241946,0,1,2000,"grss_cyper_1","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-1,5,4,22,22,0.801421664181964,-0.130575903059394,0,1,2000,"grss_cyper_1","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
