"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
1,0,1,-2,4,3,110,110,0.898580424648626,-0.116561703818513,0,1,2000,"mean_spad_diff","psmb_Z_3_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,115,115,0.926892565108566,-0.168526638261396,0,1,2000,"mean_spad_diff","psmb_Z_3_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,124,124,0.505690972714899,0.051300826858692,0.0463459031933173,0.034,2000,"mean_spad_diff","psmb_Z_3_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.783
1,0,1,-2,4,3,110,110,0.883492974313558,-0.0394654108399553,0,1,2000,"mean_spad_diff","psmb_E_2_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,120,120,0.837626253368657,0.00771179270588299,0,0.45,2000,"mean_spad_diff","psmb_E_2_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.868269230769231
1,0,1,0,4,3,129,129,0.732148527611675,0.118310873303375,0.0989207750367274,0.045,2000,"mean_spad_diff","psmb_E_2_Hexenal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.783
5,4,1,-2,8,7,90,90,1.032843672864,-0.00813696311255223,0,1,2000,"mean_spad_diff","psmb_Z_3_Hexen_1_ol","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,90,90,0.753595266821503,-0.081250576424732,0,1,2000,"mean_spad_diff","psmb_Z_3_Hexen_1_ol","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,0,8,7,90,90,0.806313824644073,-0.0349755818113665,0,1,2000,"mean_spad_diff","psmb_Z_3_Hexen_1_ol","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,110,110,0.575288129684904,-0.039510456158448,0,1,2000,"mean_spad_diff","psmb_X2_4_Heptadienal","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
