"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
1,0,1,-2,4,3,105,105,0.429234162342695,0.045767555640453,0.0147352308913913,0.2615,2000,"psmb_Z_3_Hexenal","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.999375
1,0,1,-1,4,3,115,115,0.422954358256806,0.0165316302651025,0,0.3755,2000,"psmb_Z_3_Hexenal","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,124,124,0.359943322454634,0.12892502278143,0.105422665876998,0.05,2000,"psmb_Z_3_Hexenal","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.328846153846154
1,0,1,-2,4,3,110,110,0.479199643936103,-0.0794688064489423,0,1,2000,"psmb_E_2_Hexenal","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,120,120,0.533226974496665,-0.218267211859186,0,1,2000,"psmb_E_2_Hexenal","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,129,129,0.360038194382964,0.112024520826351,0.100214349265049,0.0235,2000,"psmb_E_2_Hexenal","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.310714285714286
1,0,1,-2,4,3,110,110,0.459705111544002,-0.0379367247404232,0,1,2000,"psmb_Z_3_Hexen_1_ol","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,120,120,0.60406682670749,-0.343004867064373,0,1,2000,"psmb_Z_3_Hexen_1_ol","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,129,129,0.354676127661427,0.127029585542214,0.124501734939005,0.002,2000,"psmb_Z_3_Hexen_1_ol","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.15
1,0,1,-2,4,3,110,110,0.442393448894085,0.000448855320949959,0,0.353,2000,"psmb_X2_4_Heptadienal","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,120,120,0.390059208384474,0.094381421023251,0.0698036505834769,0.0895,2000,"psmb_X2_4_Heptadienal","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.479464285714286
1,0,1,0,4,3,129,129,0.344965521935231,0.154790166539245,0.141456875305654,0.0075,2000,"psmb_X2_4_Heptadienal","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.2125
1,0,1,-2,4,3,107,107,0.474646216175528,-0.0550670935404651,0,1,2000,"psmb_linalool","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,117,117,0.380641356629888,0.113091100966251,0.0997420001504301,0.0285,2000,"psmb_linalool","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.310714285714286
1,0,1,0,4,3,126,126,0.345337390654523,0.160173294686524,0.13447178959237,0.021,2000,"psmb_linalool","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.310714285714286
1,0,1,-2,4,3,110,110,0.397727451721875,0.106881521277024,0.0935266541764107,0.0395,2000,"psmb_b_caryophyllene","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.328846153846154
1,0,1,-1,4,3,120,120,0.566648432117724,-0.279059097248225,0,1,2000,"psmb_b_caryophyllene","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
