"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
3,2,1,-2,6,5,90,90,0.806157719325513,0.0286205871877932,0,0.356,2000,"mean_height_diff","PRO_Taxa00004","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.98680880121396
3,2,1,-1,6,5,90,90,0.897607019710726,-0.0943787262804393,0,1,2000,"mean_height_diff","PRO_Taxa00004","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,0,6,5,85,85,0.912345223961993,0.0170382663151232,0,0.3995,2000,"mean_height_diff","PRO_Taxa00004","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-2,5,4,90,90,0.578350428247845,-0.0863955972936851,0,1,2000,"mean_height_diff","PRO_Taxa00006","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-1,5,4,99,99,0.57731036381729,0.0846228451833467,0.0477673253206052,0.192,2000,"mean_height_diff","PRO_Taxa00006","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.804092889908257
2,1,1,0,5,4,94,94,0.54256910168188,0.00295036577705543,0,0.2695,2000,"mean_height_diff","PRO_Taxa00006","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.902390322580645
3,2,1,-2,6,5,90,90,0.44655799166913,0.0961130430570966,0.0858948557232949,0.006,2000,"mean_height_diff","PRO_Taxa00007","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.29064
3,2,1,-1,6,5,90,90,0.246982452591078,-0.0690507396930944,0,1,2000,"mean_height_diff","PRO_Taxa00007","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,0,6,5,85,85,0.28933174533505,-0.0124869127154223,0,1,2000,"mean_height_diff","PRO_Taxa00007","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-2,5,4,90,90,0.379800442951995,-0.0675819553686737,0,1,2000,"mean_height_diff","PRO_Taxa00008","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-1,5,4,99,99,0.365164026946037,0.0626541313259394,0.0355457294858451,0.173,2000,"mean_height_diff","PRO_Taxa00008","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.782701120797011
