"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
1,0,1,-2,4,3,90,90,0.656627765239578,0.0436744172707886,0.00653600240398049,0.2395,2000,"mean_n_stem_diff","PRO_Taxa00004","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,99,99,0.756626570155332,0.0922043871250513,0.0644949818454061,0.1155,2000,"mean_n_stem_diff","PRO_Taxa00004","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,94,94,0.885542619979988,-0.0366307721535033,0,1,2000,"mean_n_stem_diff","PRO_Taxa00004","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,90,90,0.554023815965431,0.0744862188365485,0.0322163736028692,0.2115,2000,"mean_n_stem_diff","PRO_Taxa00006","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,99,99,0.637810452737656,-0.0180206479390956,0,1,2000,"mean_n_stem_diff","PRO_Taxa00006","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,94,94,0.540968599381066,0.115635139275901,0.088935893940822,0.0655,2000,"mean_n_stem_diff","PRO_Taxa00006","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,90,90,0.971286361006538,-0.0422796459423564,0,1,2000,"mean_n_stem_diff","PRO_Taxa00007","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,99,99,0.668703596297858,0.250023510854697,0.215966105776991,0.016,2000,"mean_n_stem_diff","PRO_Taxa00007","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,94,94,0.360965842365586,0.222470322305304,0.182160186408819,0.0265,2000,"mean_n_stem_diff","PRO_Taxa00007","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,90,90,0.413823173462638,-0.0272920568364523,0,1,2000,"mean_n_stem_diff","PRO_Taxa00008","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
