"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
1,0,1,-2,4,3,75,75,0.679589597431422,0.132078126319859,0.118280131546813,0.017,2000,"PRO_Taxa00004","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.235230215827338
1,0,1,-1,4,3,85,85,0.701005074006347,0.0364956655626841,0.0154420467688256,0.2075,2000,"PRO_Taxa00004","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.451676153385261
1,0,1,0,4,3,94,94,0.605034463650906,0.0923791115481138,0.0730862988066172,0.0475,2000,"PRO_Taxa00004","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.296571428571429
1,0,1,-2,4,3,75,75,0.795835350713032,-0.0258251095094738,0,1,2000,"PRO_Taxa00006","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,85,85,0.655941919528313,0.102938543091202,0.0802709055985123,0.0545,2000,"PRO_Taxa00006","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.306025502318393
1,0,1,0,4,3,94,94,0.589549165534838,0.118306414074384,0.0963287573483547,0.0355,2000,"PRO_Taxa00006","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.269665979381443
5,4,1,-2,8,7,40,40,0.734775577626073,-0.0169731589944598,0,1,2000,"PRO_Taxa00007","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,40,40,0.632570991486784,0.0342820858664317,0.0163500850482929,0.2005,2000,"PRO_Taxa00007","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.446607296137339
5,4,1,0,8,7,40,40,0.666437849578282,0.0294666669942995,0.00909860537331707,0.2555,2000,"PRO_Taxa00007","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.501475688816856
1,0,1,-2,4,3,75,75,0.655025903795431,0.168892426468915,0.141172499173291,0.009,2000,"PRO_Taxa00008","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.21
1,0,1,-1,4,3,85,85,0.615062838172195,0.167286352334565,0.139293247596087,0.0115,2000,"PRO_Taxa00008","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.218740837696335
1,0,1,0,4,3,94,94,0.553916900321722,0.180649856591798,0.148593280766182,0.017,2000,"PRO_Taxa00008","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.235230215827338
2,1,1,-2,5,4,65,65,0.761006343347898,-0.0282358859735362,0,1,2000,"PRO_Taxa00009","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-1,5,4,75,75,0.702026198438408,0.00882698876863802,0,0.273,2000,"PRO_Taxa00009","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.514157076205288
2,1,1,0,5,4,84,84,0.633063104307671,0.0366856499819075,0.0087718248702035,0.277,2000,"PRO_Taxa00009","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.51686748844376
3,2,1,-2,6,5,55,55,0.732211164224012,0.00898659049404638,0.00485973476512338,0.1235,2000,"PRO_Taxa00010","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.381526785714286
3,2,1,-1,6,5,65,65,0.6014112981353,0.0011870110399822,0,0.281,2000,"PRO_Taxa00010","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.519
3,2,1,0,6,5,65,65,0.600257093099604,0.0153844787854747,0.00311642646631822,0.252,2000,"PRO_Taxa00010","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.498008957654723
2,1,1,-2,5,4,65,65,0.780444901580161,-0.0727753619569481,0,1,2000,"PRO_Taxa00011","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-1,5,4,75,75,0.6951198788957,0.0417508611714584,0.0183258562272725,0.2085,2000,"PRO_Taxa00011","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.452767782426778
2,1,1,0,5,4,84,84,0.635805451446223,-0.0347161615913946,0,1,2000,"PRO_Taxa00011","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-2,5,4,65,65,0.780705834843204,0.122237346869181,0.0721948939209101,0.116,2000,"PRO_Taxa00012","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.376827127659574
2,1,1,-1,5,4,75,75,0.714723289898925,0.0691785878731905,0.013903498791645,0.3455,2000,"PRO_Taxa00012","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.573413202375514
2,1,1,0,5,4,84,84,0.677153102214088,-0.0583061970585335,0,1,2000,"PRO_Taxa00012","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,75,75,0.746533297646918,0.0381269880976732,0.0146712733953228,0.243,2000,"PRO_Taxa00013","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.488284845132743
1,0,1,-1,4,3,85,85,0.668018213842684,0.0846953514147386,0.055881290280202,0.114,2000,"PRO_Taxa00013","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.3761689373297
1,0,1,0,4,3,94,94,0.530585140208605,0.223684096995054,0.193651160304684,0.0025,2000,"PRO_Taxa00013","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.160955696202532
2,1,1,-2,5,4,65,65,0.771962675228386,-0.0197225863784577,0,1,2000,"PRO_Taxa00014","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-1,5,4,75,75,0.64467934903174,-0.0091096640756908,0,1,2000,"PRO_Taxa00014","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,0,5,4,84,84,0.627009101072435,-0.022697652880814,0,1,2000,"PRO_Taxa00014","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-2,8,7,40,40,0.815498373168142,-0.0386489995805886,0,1,2000,"PRO_Taxa00015","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,40,40,0.748124770720029,-0.0179239021815316,0,1,2000,"PRO_Taxa00015","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,0,8,7,40,40,0.614068065979438,0.0151498291993055,0,0.377,2000,"PRO_Taxa00015","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.601511198945982
5,4,1,-2,8,7,40,40,0.767503708166287,-0.00516413284266587,0,1,2000,"PRO_Taxa00017","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,40,40,0.741140345426363,0.00281615905719257,0,0.502,2000,"PRO_Taxa00017","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.740164772727273
5,4,1,0,8,7,40,40,0.728497877423953,-0.0516161012089558,0,1,2000,"PRO_Taxa00017","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-2,8,7,40,40,0.818584073475969,0.00473383149357753,0,0.296,2000,"PRO_Taxa00018","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.531045925925926
5,4,1,-1,8,7,40,40,0.730176301472598,0.0158824292216343,0.00750701160706169,0.2075,2000,"PRO_Taxa00018","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.451676153385261
5,4,1,0,8,7,40,40,0.64978248258402,-0.0957915624611375,0,1,2000,"PRO_Taxa00018","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-2,8,7,40,40,0.744561870481199,-0.042518083187337,0,1,2000,"PRO_Taxa00019","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,40,40,0.648819430981836,0.012854623240522,0,0.3035,2000,"PRO_Taxa00019","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.537861219512195
5,4,1,0,8,7,40,40,0.649366602939138,-0.0082683724091277,0,1,2000,"PRO_Taxa00019","mean_n_stem_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
