"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
5,4,1,-2,8,7,70,70,0.854309268549388,-0.07742285661015,0,1,2000,"mean_spad_diff","PRO_Taxa00004","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,70,70,1.04032912095471,0.00502804675518297,0,0.2765,2000,"mean_spad_diff","PRO_Taxa00004","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.697586458333333
5,4,1,0,8,7,65,65,0.996605678051814,0.00964534726680907,0,0.404,2000,"mean_spad_diff","PRO_Taxa00004","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.76285446985447
1,0,1,-2,4,3,90,90,0.465106731621831,0.249426984148282,0.208978045839865,0.012,2000,"mean_spad_diff","PRO_Taxa00006","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.360297520661157
1,0,1,-1,4,3,100,100,0.668489836781534,-0.0646639773486334,0,1,2000,"mean_spad_diff","PRO_Taxa00006","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,104,104,0.623176581668758,-0.0189592162561112,0,1,2000,"mean_spad_diff","PRO_Taxa00006","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,90,90,0.76668029097436,0.194271808441157,0.147122262200368,0.062,2000,"mean_spad_diff","PRO_Taxa00007","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.56171072319202
1,0,1,-1,4,3,100,100,1.06954638085809,-0.189443532352029,0,1,2000,"mean_spad_diff","PRO_Taxa00007","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,104,104,0.738076955344054,0.12683202279099,0.0816506382263668,0.142,2000,"mean_spad_diff","PRO_Taxa00007","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.67378947368421
1,0,1,-2,4,3,90,90,0.438350965342816,-0.0848731717431302,0,1,2000,"mean_spad_diff","PRO_Taxa00008","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,100,100,0.336676207332331,0.126523806698084,0.0717768032645095,0.169,2000,"mean_spad_diff","PRO_Taxa00008","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.682735150925024
1,0,1,0,4,3,104,104,0.329861495235855,0.124910531572471,0.0641608492890648,0.192,2000,"mean_spad_diff","PRO_Taxa00008","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.682735150925024
1,0,1,-2,4,3,90,90,0.569682551350509,0.168630543752671,0.159558503608251,0.006,2000,"mean_spad_diff","PRO_Taxa00009","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.265829268292683
1,0,1,-1,4,3,100,100,0.77419434739033,-0.0659634501550956,0,1,2000,"mean_spad_diff","PRO_Taxa00009","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,104,104,0.764049040825951,-0.0741667635756265,0,1,2000,"mean_spad_diff","PRO_Taxa00009","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,90,90,0.807600534641987,0.079659669365052,0.038015298022722,0.1965,2000,"mean_spad_diff","PRO_Taxa00010","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.68400142993327
1,0,1,-1,4,3,100,100,0.690141351338489,0.228974056095468,0.212340352083704,0.006,2000,"mean_spad_diff","PRO_Taxa00010","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.265829268292683
1,0,1,0,4,3,104,104,0.666931394471606,0.243843335465539,0.220891540052342,0.0085,2000,"mean_spad_diff","PRO_Taxa00010","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.321671875
1,0,1,-2,4,3,90,90,0.910093278952482,0.012333627579163,0,0.424,2000,"mean_spad_diff","PRO_Taxa00011","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.772649549098196
1,0,1,-1,4,3,100,100,0.482673914866995,0.596432803557234,0.545705820935535,0.002,2000,"mean_spad_diff","PRO_Taxa00011","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.168976744186047
1,0,1,0,4,3,104,104,0.27811652149941,1.12812373525722,1.06006089010944,0,2000,"mean_spad_diff","PRO_Taxa00011","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0
1,0,1,-2,4,3,90,90,0.862398757441475,0.125010472628405,0.0883713411013222,0.0865,2000,"mean_spad_diff","PRO_Taxa00012","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.621056324110672
1,0,1,-1,4,3,100,100,0.827980080150769,0.121063198719194,0.0993156367316044,0.0525,2000,"mean_spad_diff","PRO_Taxa00012","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.545464589235128
1,0,1,0,4,3,104,104,0.615002879749996,0.389200835984439,0.349803453978492,0.0025,2000,"mean_spad_diff","PRO_Taxa00012","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.185357142857143
1,0,1,-2,4,3,90,90,0.871187713687787,0.0312240202596594,0,0.383,2000,"mean_spad_diff","PRO_Taxa00013","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.748085483870968
1,0,1,-1,4,3,100,100,0.582683902121987,0.39301770363949,0.35449086940467,0.0045,2000,"mean_spad_diff","PRO_Taxa00013","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.240419117647059
1,0,1,0,4,3,104,104,0.341269912310706,0.90840841942179,0.850239280373469,0,2000,"mean_spad_diff","PRO_Taxa00013","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0
1,0,1,-2,4,3,90,90,0.857477813679849,0.0966422664200574,0.045217772791487,0.1965,2000,"mean_spad_diff","PRO_Taxa00014","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.68400142993327
1,0,1,-1,4,3,100,100,0.723232276672595,0.214380488151196,0.158769343585126,0.085,2000,"mean_spad_diff","PRO_Taxa00014","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.618847695390782
1,0,1,0,4,3,104,104,0.85873917925049,0.0233604732066676,0,0.443,2000,"mean_spad_diff","PRO_Taxa00014","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.789434345908868
1,0,1,-2,4,3,90,90,0.456229659721821,0.0824066103101239,0.0498225534255829,0.158,2000,"mean_spad_diff","PRO_Taxa00015","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.682214932126697
1,0,1,-1,4,3,100,100,0.719720828588183,0.00731933232137499,0,0.419,2000,"mean_spad_diff","PRO_Taxa00015","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.76996813353566
1,0,1,0,4,3,104,104,0.660693273232327,0.0764367264331317,0.0445141867318162,0.1625,2000,"mean_spad_diff","PRO_Taxa00015","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.682214932126697
5,4,1,-2,8,7,70,70,0.857452541957657,0.00242025319522376,0,0.4085,2000,"mean_spad_diff","PRO_Taxa00017","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.764595826893354
5,4,1,-1,8,7,70,70,0.845378658677389,-0.0280553349774652,0,1,2000,"mean_spad_diff","PRO_Taxa00017","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,0,8,7,65,65,0.738128780504142,0.0147542639812192,0,0.3065,2000,"mean_spad_diff","PRO_Taxa00017","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.712220779220779
1,0,1,-2,4,3,90,90,0.414114706954716,0.0924721281337076,0.0769604617313457,0.054,2000,"mean_spad_diff","PRO_Taxa00018","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.552625352112676
1,0,1,-1,4,3,100,100,0.663077788801883,-0.00479986271096311,0,1,2000,"mean_spad_diff","PRO_Taxa00018","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,104,104,0.606612046612896,0.0695686892184906,0.0476765853351288,0.1235,2000,"mean_spad_diff","PRO_Taxa00018","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.668535923753666
1,0,1,-2,4,3,90,90,0.335668050480831,0.132878879586007,0.0914537536208593,0.11,2000,"mean_spad_diff","PRO_Taxa00019","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.653586709886548
1,0,1,-1,4,3,100,100,0.441390126738893,-0.170924331161825,0,1,2000,"mean_spad_diff","PRO_Taxa00019","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,104,104,0.33430387817932,0.0597295545381944,0.0244595737947917,0.219,2000,"mean_spad_diff","PRO_Taxa00019","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.686859173126615
1,0,1,-2,4,3,90,90,0.740331753203982,0.193270192834136,0.126523862904659,0.1155,2000,"mean_spad_diff","PRO_Taxa00020","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.659511737089202
