"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
1,0,1,-2,4,3,85,85,0.435629780706184,0.0762855710675149,0.0572616197044662,0.085,2000,"PRO_Taxa00004","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.317374100719424
1,0,1,-1,4,3,95,95,0.440411725037023,0.0168224306434844,0.00369761088354586,0.26,2000,"PRO_Taxa00004","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.546948465547192
1,0,1,0,4,3,104,104,0.427970240205405,-0.0248618109662095,0,1,2000,"PRO_Taxa00004","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,-2,6,5,65,65,0.381023781621513,-0.0433265633260173,0,1,2000,"PRO_Taxa00006","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,-1,6,5,65,65,0.337608827782578,-0.00619675542919418,0,1,2000,"PRO_Taxa00006","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,0,6,5,65,65,0.257169592854674,0.0620484869016642,0.0288271933926379,0.2155,2000,"PRO_Taxa00006","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.49270704845815
5,4,1,-2,8,7,40,40,0.322726317603794,-0.0511467055803823,0,1,2000,"PRO_Taxa00007","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,40,40,0.249255783291332,0.0244700329063272,0.00772993246015662,0.254,2000,"PRO_Taxa00007","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.541538732394366
5,4,1,0,8,7,40,40,0.257044798174615,0.0430315393928649,0.0310249022030038,0.073,2000,"PRO_Taxa00007","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.2959921875
5,4,1,-2,8,7,40,40,0.302118665187841,-0.0316096105013854,0,1,2000,"PRO_Taxa00008","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,40,40,0.264574863093914,-0.0558203338877223,0,1,2000,"PRO_Taxa00008","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,0,8,7,40,40,0.265079474395659,-0.011486290009761,0,1,2000,"PRO_Taxa00008","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
4,3,1,-2,7,6,50,50,0.408801171844513,-0.0834216247672241,0,1,2000,"PRO_Taxa00009","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
4,3,1,-1,7,6,50,50,0.318151123603222,-0.079549648162236,0,1,2000,"PRO_Taxa00009","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
4,3,1,0,7,6,50,50,0.265973514391456,-0.0124133112069527,0,1,2000,"PRO_Taxa00009","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,-2,6,5,65,65,0.413196453228769,-0.0309472995239863,0,1,2000,"PRO_Taxa00010","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,-1,6,5,65,65,0.343992101248794,-0.0643011994155511,0,1,2000,"PRO_Taxa00010","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,0,6,5,65,65,0.281387957743647,0.0377065977554663,0.0212418508915692,0.1735,2000,"PRO_Taxa00010","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.443891197183099
1,0,1,-2,4,3,85,85,0.464263672013022,0.0126256774062784,0,0.4335,2000,"PRO_Taxa00011","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.759356557377049
1,0,1,-1,4,3,95,95,0.415394691566441,0.0753033264743568,0.0573917870580312,0.057,2000,"PRO_Taxa00011","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.270592616580311
1,0,1,0,4,3,104,104,0.427336706657706,-0.0233803927083888,0,1,2000,"PRO_Taxa00011","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,-2,6,5,65,65,0.396879598845237,-0.013640867748053,0,1,2000,"PRO_Taxa00012","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,-1,6,5,65,65,0.375750699257328,0.0570477010877729,0.0187533963508705,0.287,2000,"PRO_Taxa00012","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.579583657587549
3,2,1,0,6,5,65,65,0.312132992659566,0.00207424512555443,0,0.1905,2000,"PRO_Taxa00012","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.461352453580902
1,0,1,-2,4,3,85,85,0.459281404201189,0.0234152236320055,0,0.362,2000,"PRO_Taxa00013","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.666571718195641
1,0,1,-1,4,3,95,95,0.348308936070671,0.251442625456362,0.21435320715389,0.0135,2000,"PRO_Taxa00013","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.160804918032787
1,0,1,0,4,3,104,104,0.391182011251889,0.0650188963718002,0.0357853221782719,0.1715,2000,"PRO_Taxa00013","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.443143314366999
4,3,1,-2,7,6,50,50,0.368325335504531,0.00485323689802286,0,0.4985,2000,"PRO_Taxa00014","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.854269103773585
4,3,1,-1,7,6,50,50,0.298160208065136,0.0394374529976989,0.0224604592064921,0.17,2000,"PRO_Taxa00014","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.441781115879828
4,3,1,0,7,6,50,50,0.280942428350692,0.0331099069957939,0.0151411311565795,0.2145,2000,"PRO_Taxa00014","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.491348360655738
1,0,1,-2,4,3,85,85,0.477773244689784,-0.0160579095583487,0,1,2000,"PRO_Taxa00015","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,95,95,0.444893125002766,0.00669837395769546,0,0.1875,2000,"PRO_Taxa00015","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.459640688259109
1,0,1,0,4,3,104,104,0.383002806293035,0.0861495336780825,0.0722630441090573,0.0455,2000,"PRO_Taxa00015","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.242022693997072
5,4,1,-2,8,7,40,40,0.446663582552144,0.00458274833780381,0.00104342007053476,0.2005,2000,"PRO_Taxa00017","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.471466990291262
5,4,1,-1,8,7,40,40,0.303751225600045,-0.0391433137758881,0,1,2000,"PRO_Taxa00017","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,0,8,7,40,40,0.284858782208862,0.0133525263530756,0.0106934058759993,0.072,2000,"PRO_Taxa00017","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.294567567567568
1,0,1,-2,4,3,85,85,0.44299852612183,0.0595118838826402,0.0363597583047085,0.1475,2000,"PRO_Taxa00018","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.41552086553323
1,0,1,-1,4,3,95,95,0.396512462003847,0.121824988142442,0.0988663036752575,0.0425,2000,"PRO_Taxa00018","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.235369664634146
1,0,1,0,4,3,104,104,0.379189579035363,0.0961555614113306,0.0859672813341814,0.0225,2000,"PRO_Taxa00018","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.188620767494357
4,3,1,-2,7,6,50,50,0.400309239298107,-0.0512673053441449,0,1,2000,"PRO_Taxa00019","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
4,3,1,-1,7,6,50,50,0.285318814603435,-0.0179701366074798,0,1,2000,"PRO_Taxa00019","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
4,3,1,0,7,6,50,50,0.269941271735593,0.00836669101430876,0,0.3665,2000,"PRO_Taxa00019","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.672132508833922
5,4,1,-2,8,7,40,40,0.333788966657398,-0.0219285536696865,0,1,2000,"PRO_Taxa00020","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,40,40,0.282611274533799,-0.00636960103137807,0,1,2000,"PRO_Taxa00020","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,0,8,7,40,40,0.265795199069869,0.00181912734909706,0,0.5155,2000,"PRO_Taxa00020","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.88256903864279
1,0,1,-2,4,3,85,85,0.535436328061387,-0.130003654088785,0,1,2000,"PRO_Taxa00021","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,95,95,0.532795628172276,-0.173605455064405,0,1,2000,"PRO_Taxa00021","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,104,104,0.369206412804542,0.122835978030143,0.112279331011392,0.021,2000,"PRO_Taxa00021","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.186992647058824
5,4,1,-2,8,7,40,40,0.464263890748099,-0.357178044062912,0,1,2000,"PRO_Taxa00022","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,40,40,0.29091110503662,-0.139262823382324,0,1,2000,"PRO_Taxa00022","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,0,8,7,40,40,0.261388568568624,-0.00139868718685721,0,1,2000,"PRO_Taxa00022","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,85,85,0.474114200368054,-0.00836989483937867,0,1,2000,"PRO_Taxa00023","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,95,95,0.416957962105346,0.0715470523275733,0.0504977540122074,0.1015,2000,"PRO_Taxa00023","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.347876886792453
1,0,1,0,4,3,104,104,0.364542542687243,0.135548590138385,0.106659535381382,0.0535,2000,"PRO_Taxa00023","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.262301619433198
5,4,1,-2,8,7,40,40,0.522869849957863,-0.107653645224878,0,1,2000,"PRO_Taxa00024","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,40,40,0.324414614154443,-0.0900173483199758,0,1,2000,"PRO_Taxa00024","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,0,8,7,40,40,0.259543627493997,0.0348386222648724,0.032133394196107,0.019,2000,"PRO_Taxa00024","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.180227154046997
4,3,1,-2,7,6,50,50,0.422207833992783,0.111932069608906,0.0979775345662887,0.0105,2000,"PRO_Taxa00025","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.157334645669291
4,3,1,-1,7,6,50,50,0.31328684143056,0.0210262275320459,0.00741357856008181,0.2535,2000,"PRO_Taxa00025","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.541107814336075
4,3,1,0,7,6,50,50,0.239643751197525,0.0704420566066286,0.0526975530068752,0.079,2000,"PRO_Taxa00025","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.30695935828877
1,0,1,-2,4,3,85,85,0.464985179584799,0.0110727936646934,0,0.259,2000,"PRO_Taxa00026","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.546109692396982
1,0,1,-1,4,3,95,95,0.383073249264691,0.156306236507465,0.147862819644059,0.007,2000,"PRO_Taxa00026","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.148084239130435
1,0,1,0,4,3,104,104,0.393558854932613,0.0589612254860197,0.0398021034068243,0.122,2000,"PRO_Taxa00026","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.375297205757832
4,3,1,-2,7,6,50,50,0.363094873144289,0.00018287864483657,0,0.649,2000,"PRO_Taxa00027","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
4,3,1,-1,7,6,50,50,0.300968202224092,-0.0251838167822629,0,1,2000,"PRO_Taxa00027","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
4,3,1,0,7,6,50,50,0.279838695607361,-0.0255946134838609,0,1,2000,"PRO_Taxa00027","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,85,85,0.52574834011944,-0.111744330527322,0,1,2000,"PRO_Taxa00028","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,95,95,0.391330836684415,0.134979126898595,0.124176543492252,0.024,2000,"PRO_Taxa00028","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.188727272727273
1,0,1,0,4,3,104,104,0.376432866916265,0.103452126949953,0.0908439685502819,0.027,2000,"PRO_Taxa00028","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.193244680851064
3,2,1,-2,6,5,65,65,0.463354973804416,-0.167068246006106,0,1,2000,"PRO_Taxa00029","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,-1,6,5,65,65,0.312782290597908,0.0693313380883835,0.0508476808262576,0.1005,2000,"PRO_Taxa00029","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.346081990521327
3,2,1,0,6,5,65,65,0.269160125804514,-0.0514946963165199,0,1,2000,"PRO_Taxa00029","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,85,85,0.406409037153347,0.145718193776523,0.118530369618471,0.0365,2000,"PRO_Taxa00030","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.217741379310345
1,0,1,-1,4,3,95,95,0.419356770470846,0.0658104202904245,0.0405425743977996,0.15,2000,"PRO_Taxa00030","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.418227168073676
1,0,1,0,4,3,104,104,0.379310136005752,0.095837678704155,0.0694387899722494,0.088,2000,"PRO_Taxa00030","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.323587044534413
1,0,1,-2,4,3,85,85,0.384700848488369,0.200612311543136,0.170869741478268,0.012,2000,"PRO_Taxa00031","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.159109489051095
1,0,1,-1,4,3,95,95,0.461276903649719,-0.0294660626038676,0,1,2000,"PRO_Taxa00031","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,104,104,0.391380858082936,0.064510702479351,0.0431230215735043,0.126,2000,"PRO_Taxa00031","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.378938741721854
5,4,1,-2,8,7,40,40,0.430858881153598,-0.19325719792862,0,1,2000,"PRO_Taxa00032","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,40,40,0.297697080486072,-0.108521187378596,0,1,2000,"PRO_Taxa00032","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,0,8,7,40,40,0.252867818604594,0.130823339795827,0.113398626390906,0.004,2000,"PRO_Taxa00032","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.141087378640777
4,3,1,-2,7,6,50,50,0.384117111191002,-0.0162833236060212,0,1,2000,"PRO_Taxa00033","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
4,3,1,-1,7,6,50,50,0.308042816273133,-0.0106945406300374,0,1,2000,"PRO_Taxa00033","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
4,3,1,0,7,6,50,50,0.248679916553002,0.0278222917845354,0.0206805391269721,0.07,2000,"PRO_Taxa00033","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.289646924829157
1,0,1,-2,4,3,85,85,0.495384297170959,-0.0522554923964131,0,1,2000,"PRO_Taxa00034","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-1,4,3,95,95,0.466198544035296,-0.0400791448036228,0,1,2000,"PRO_Taxa00034","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,0,4,3,104,104,0.435010466832096,-0.0411782425144371,0,1,2000,"PRO_Taxa00034","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-2,5,4,75,75,0.468960885362924,-0.0515683896708712,0,1,2000,"PRO_Taxa00035","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-1,5,4,85,85,0.477785769589383,-0.0197623580550238,0,1,2000,"PRO_Taxa00035","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,0,5,4,85,85,0.340966396692881,0.00814806626817388,0,0.4185,2000,"PRO_Taxa00035","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.738063349514563
2,1,1,-2,5,4,75,75,0.497837925304045,-0.0440619300379889,0,1,2000,"PRO_Taxa00036","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-1,5,4,85,85,0.402074802964203,0.0949649327125545,0.0573695481214116,0.1205,2000,"PRO_Taxa00036","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.372258928571429
2,1,1,0,5,4,85,85,0.330652736040993,-0.0264929861127687,0,1,2000,"PRO_Taxa00036","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-2,8,7,40,40,0.361407641466676,-0.0185157390222572,0,1,2000,"PRO_Taxa00037","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
5,4,1,-1,8,7,40,40,0.292133614353622,0.00879983599185086,0.00630229451456576,0.114,2000,"PRO_Taxa00037","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.360768292682927
5,4,1,0,8,7,40,40,0.285887121923942,0.00710179967056002,0.00395114080340643,0.1845,2000,"PRO_Taxa00037","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.45845
4,3,1,-2,7,6,50,50,0.377097485918287,0.0208683866112063,0.00955968579007589,0.2085,2000,"PRO_Taxa00038","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.48339534141672
4,3,1,-1,7,6,50,50,0.383751927417403,0.0168303441126317,0.0114265080383584,0.1165,2000,"PRO_Taxa00038","mean_spad_diff","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.365180759275237
