"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
1,0,1,-1,2,1,120,120,0.596534086271625,0.55444565063035,0.531366179028188,0,2000,"mean_spad_diff","clim_mean_temp",NA,0
1,0,1,-1,2,1,120,120,0.676021830387806,0.431853761641506,0.409138086496217,0,2000,"mean_spad_diff","clim_max_temp",NA,0
5,4,1,-1,6,5,90,90,0.105206015258685,0.218030075189583,0.19665349232281,5e-04,2000,"mean_spad_diff","clim_min_temp",NA,0.0012
5,4,1,-2,6,5,90,90,0.404889863578284,0.162881228998841,0.140830048995165,0.005,2000,"mean_spad_diff","clim_sunlight_hours",NA,0.00857142857142857
1,0,1,-1,2,1,120,120,0.511702643386613,0.682866115405658,0.659369000378329,0,2000,"mean_spad_diff","clim_cum_7days_temp",NA,0
1,0,1,-1,2,1,120,120,0.83638125836605,0.184197725060418,0.161885976005344,0.0015,2000,"mean_spad_diff","clim_cum_7days_rainfall",NA,0.003
5,4,1,-1,6,5,90,90,0.277008766776761,0.212696241764754,0.190173655970734,0.001,2000,"mean_spad_diff","clim_cum_7days_sunlihg_hours",NA,0.00218181818181818
1,0,1,0,4,3,104,104,0.27811652149941,1.12812373525722,1.06006089010944,0,2000,"mean_spad_diff","PRO_Taxa00011","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0
1,0,1,0,4,3,104,104,0.341269912310706,0.90840841942179,0.850239280373469,0,2000,"mean_spad_diff","PRO_Taxa00013","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0
1,0,1,-2,4,3,90,90,0.548017109691057,0.54710790907095,0.504469640296061,0,2000,"mean_spad_diff","PRO_Taxa00050","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0
1,0,1,0,4,3,104,104,0.449077276504963,0.672105718864004,0.624531109737894,0,2000,"mean_spad_diff","COI_Taxa00127","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0
1,0,1,-1,4,3,100,100,0.472897669569322,0.721339363624776,0.656418021180039,0,2000,"mean_spad_diff","COI_Taxa00134","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0
1,0,1,-2,4,3,90,90,0.426500171501238,0.370083670462951,0.364272412971731,0,2000,"mean_spad_diff","EUK_Taxa00306","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0
1,0,1,-1,4,3,100,100,0.386219608107864,0.764482916187565,0.710564215412036,0,2000,"mean_spad_diff","EUK_Taxa00659","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0
